Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
roberta-base,_mean-2,0,"{'devacc': np.float64(77.67), 'acc': np.float64(77.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.74), 'acc': np.float64(80.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.96), 'acc': np.float64(92.97), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.18), 'acc': np.float64(87.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.65), 'acc': 82.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.6), 'acc': 43.94, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.28), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.71), 'acc': 74.84, 'f1': 82.33, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(77.71), 'acc': np.float64(77.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.67), 'acc': np.float64(80.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.0), 'acc': np.float64(92.99), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.47), 'acc': np.float64(87.39), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 82.04, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.78), 'acc': 43.44, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.54), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.71), 'acc': 74.61, 'f1': 82.17, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean-2,0,"{'devacc': np.float64(77.62), 'acc': np.float64(77.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.59), 'acc': np.float64(80.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.97), 'acc': np.float64(92.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.16), 'acc': np.float64(87.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.54), 'acc': 82.7, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.78), 'acc': 43.26, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.45), 'acc': 90.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.74), 'acc': 74.67, 'f1': 82.39, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_cls_with_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(77.72), 'acc': np.float64(77.54), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.64), 'acc': np.float64(80.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.97), 'acc': np.float64(92.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.38), 'acc': np.float64(87.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.77), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.78), 'acc': 43.39, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.57), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.64), 'acc': 74.61, 'f1': 82.3, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens-2,0,"{'devacc': np.float64(77.27), 'acc': np.float64(77.41), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.79), 'acc': np.float64(80.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.01), 'acc': np.float64(93.18), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.48), 'acc': np.float64(87.9), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.28), 'acc': 80.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.05), 'acc': 43.57, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.01), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.06), 'acc': 69.1, 'f1': 78.39, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(77.31), 'acc': np.float64(77.09), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.85), 'acc': np.float64(80.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.01), 'acc': np.float64(93.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.58), 'acc': np.float64(86.96), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.05), 'acc': 80.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.69), 'acc': 42.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.57), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.01), 'acc': 68.06, 'f1': 77.43, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens-2,0,"{'devacc': np.float64(76.9), 'acc': np.float64(76.8), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.96), 'acc': np.float64(78.49), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.85), 'acc': np.float64(92.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.15), 'acc': np.float64(86.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.36), 'acc': 81.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.15), 'acc': 41.27, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.99), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.58), 'acc': 70.32, 'f1': 80.02, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(76.94), 'acc': np.float64(76.39), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.75), 'acc': np.float64(78.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.79), 'acc': np.float64(92.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 78.47, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.33), 'acc': 41.54, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.45), 'acc': 88.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.53), 'acc': 68.52, 'f1': 78.36, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_cls-3,0,"{'devacc': np.float64(69.67), 'acc': np.float64(69.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(66.22), 'acc': np.float64(68.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(86.5), 'acc': np.float64(86.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(74.96), 'acc': np.float64(74.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.49), 'acc': 77.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(36.42), 'acc': 37.1, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(57.65), 'acc': 59.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.58), 'acc': 69.86, 'f1': 80.05, 'ndev': 4076, 'ntest': 1725}"
roberta-base,_mean-3,0,"{'devacc': np.float64(79.74), 'acc': np.float64(79.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.61), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.85), 'acc': np.float64(93.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.88), 'acc': np.float64(87.73), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.37), 'acc': 85.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.78), 'acc': 46.2, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.66), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.42), 'acc': 75.19, 'f1': 82.44, 'ndev': 4076, 'ntest': 1725}"
