Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
microsoft/deberta-v3-base,_mean-2,0,"{'devacc': np.float64(78.38), 'acc': np.float64(78.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.73), 'acc': np.float64(81.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.37), 'acc': np.float64(93.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.68), 'acc': np.float64(89.7), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 82.59, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.69), 'acc': 45.29, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.92), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.0), 'acc': 72.87, 'f1': 81.01, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(78.33), 'acc': np.float64(78.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.79), 'acc': np.float64(81.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.36), 'acc': np.float64(93.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.42), 'acc': np.float64(89.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.51), 'acc': 44.98, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.9), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.22), 'acc': 72.52, 'f1': 80.76, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean-2,0,"{'devacc': np.float64(78.46), 'acc': np.float64(78.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.76), 'acc': np.float64(81.8), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.35), 'acc': np.float64(93.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.67), 'acc': np.float64(89.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 82.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.14), 'acc': 45.07, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.92), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.15), 'acc': 73.04, 'f1': 81.21, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(78.34), 'acc': np.float64(78.16), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.7), 'acc': np.float64(81.72), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.36), 'acc': np.float64(93.24), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.43), 'acc': np.float64(89.69), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.43, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.42), 'acc': 45.34, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.78), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(75.05), 'acc': 72.35, 'f1': 80.47, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens-2,0,"{'devacc': np.float64(77.47), 'acc': np.float64(77.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.78), 'acc': np.float64(80.9), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.06), 'acc': np.float64(93.25), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.63), 'acc': np.float64(88.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.28), 'acc': 81.38, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.6), 'acc': 43.89, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.09), 'acc': 67.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.06), 'acc': 69.16, 'f1': 78.25, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(77.44), 'acc': np.float64(77.29), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.29), 'acc': np.float64(80.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.19), 'acc': np.float64(93.29), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.93), 'acc': 80.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.41), 'acc': 43.35, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.45), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.03), 'acc': 66.67, 'f1': 75.85, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens-2,0,"{'devacc': np.float64(76.88), 'acc': np.float64(76.9), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.66), 'acc': np.float64(80.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.13), 'acc': np.float64(93.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(79.82), 'acc': 79.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.51), 'acc': 42.58, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.81), 'acc': 68.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.97), 'acc': 65.45, 'f1': 74.33, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(76.61), 'acc': np.float64(77.28), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.31), 'acc': np.float64(79.18), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.09), 'acc': np.float64(93.31), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.78), 'acc': 41.63, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.41), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.58), 'acc': 66.43, 'f1': 75.74, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_cls-3,0,"{'devacc': np.float64(66.34), 'acc': np.float64(66.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(65.37), 'acc': np.float64(64.64), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(83.36), 'acc': np.float64(83.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(78.96), 'acc': np.float64(79.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(73.39), 'acc': 72.21, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(34.24), 'acc': 34.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(64.38), 'acc': 65.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.76), 'acc': 67.07, 'f1': 79.73, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean-3,0,"{'devacc': np.float64(79.56), 'acc': np.float64(79.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.46), 'acc': np.float64(82.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.02), 'acc': np.float64(94.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.75), 'acc': np.float64(89.76), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 84.84, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.5), 'acc': 46.24, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.4), 'acc': 93.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.88), 'acc': 74.61, 'f1': 82.21, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-3,0,"{'devacc': np.float64(79.55), 'acc': np.float64(79.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.44), 'acc': np.float64(82.28), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.02), 'acc': np.float64(94.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.66), 'acc': np.float64(89.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 84.51, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.59), 'acc': 46.61, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.45), 'acc': 93.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(74.9), 'acc': 74.2, 'f1': 81.78, 'ndev': 4076, 'ntest': 1725}"
