,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
104,microsoft/deberta-v3-base,_concat_mean_3_tokens-12,0,1,12,85.6,85.8,94.08,85.98,90.12,48.46,86.4,67.94,80.54749999999999,85.13142857142859
105,microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-12,0,1,12,84.64,86.97,93.58,68.77,89.51,47.1,86.2,66.55,77.91499999999999,82.31714285714284
106,microsoft/deberta-v3-base,_concat_mean_5_tokens-12,0,1,12,85.09,86.78,94.14,68.77,89.84,49.37,67.4,66.03,75.9275,79.72142857142856
107,microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-12,0,1,12,85.75,85.85,94.17,68.77,50.08,47.42,88.8,66.84,73.46,77.17999999999999
108,microsoft/deberta-v3-base,cls_last4,0,1,12,76.91,63.76,83.52,74.39,86.27,41.0,39.0,66.2,66.38125,70.00714285714285
109,microsoft/deberta-v3-base,mean_last4,0,1,12,87.03,88.9,95.07,89.76,91.6,52.17,92.2,72.99,83.715,88.22142857142858
110,microsoft/deberta-v3-base,mean_exclude_cls_sep_last4,0,1,12,86.85,88.66,95.02,90.04,91.87,52.17,94.2,73.22,84.00375000000001,88.55142857142857
111,microsoft/deberta-v3-base,concat_cls_with_mean_last4,0,1,12,86.89,89.8,94.8,89.85,92.86,52.62,93.6,74.2,84.32750000000001,88.85714285714288
112,microsoft/deberta-v3-base,concat_cls_with_mean_exclude_cls_sep_last4,0,1,12,86.86,89.8,94.78,89.65,92.59,52.71,94.6,74.43,84.42750000000001,88.95857142857143
113,microsoft/deberta-v3-base,concat_mean_3_tokens_last4,0,1,12,87.7,90.36,95.46,90.2,92.04,51.54,89.8,69.8,83.3625,87.90857142857142
114,microsoft/deberta-v3-base,concat_mean_3_tokens_exclude_cls_and_sep_last4,0,1,12,87.4,89.8,95.23,68.77,91.6,51.09,91.6,71.65,80.8925,85.14999999999999
115,microsoft/deberta-v3-base,concat_mean_5_tokens_last4,0,1,12,87.44,90.17,95.67,68.77,90.61,50.45,73.4,68.29,78.1,82.05
116,microsoft/deberta-v3-base,concat_mean_5_tokens_exclude_cls_and_sep_last4,0,1,12,87.26,89.35,95.92,68.77,50.08,50.05,94.4,63.19,74.8775,78.42428571428572
117,microsoft/deberta-v3-base,cls_sumall,0,1,12,73.23,63.76,75.32,73.01,86.55,38.82,44.4,66.49,65.19749999999999,68.96571428571428
118,microsoft/deberta-v3-base,mean_sumall,0,1,12,85.89,87.44,95.38,90.9,91.49,50.9,93.2,70.32,83.19,87.80285714285716
119,microsoft/deberta-v3-base,mean_exclude_cls_sep_sumall,0,1,12,85.49,87.04,95.21,89.71,91.38,49.95,94.0,69.51,82.78625,87.47714285714285
120,microsoft/deberta-v3-base,concat_cls_with_mean_sumall,0,1,12,86.05,88.34,95.61,89.94,91.6,51.4,95.4,68.75,83.38624999999999,87.95571428571428
121,microsoft/deberta-v3-base,concat_cls_with_mean_exclude_cls_sep_sumall,0,1,12,85.71,88.71,95.35,90.35,92.15,50.63,93.8,69.45,83.26875,87.93142857142857
122,microsoft/deberta-v3-base,concat_mean_3_tokens_sumall,0,1,12,85.97,88.66,95.43,89.71,89.9,48.87,81.4,65.57,80.68875,85.23428571428569
123,microsoft/deberta-v3-base,concat_mean_3_tokens_exclude_cls_and_sep_sumall,0,1,12,85.6,88.13,95.05,68.77,89.84,47.6,92.6,68.12,79.46375,84.01571428571428
124,microsoft/deberta-v3-base,concat_mean_5_tokens_sumall,0,1,12,85.28,87.89,95.49,68.77,89.07,48.01,76.2,66.2,77.11375000000001,81.27142857142857
125,microsoft/deberta-v3-base,concat_mean_5_tokens_exclude_cls_and_sep_sumall,0,1,12,84.43,87.44,95.01,68.77,50.08,47.69,92.2,68.35,74.24625,78.03999999999999
