Unnamed: 0,Modelo,nhid,Pooling,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
30.0,bert-large-uncased,0,_concat_cls_with_mean-4,1,24,74.48,76.71,91.46,87.19,81.22,81.4,71.88,80.61999999999999
31.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-4,1,24,74.67,76.32,91.46,87.82,81.22,82.2,72.64,80.90428571428572
32.0,bert-large-uncased,0,_concat_mean_3_tokens-4,1,24,74.89,78.73,93.05,88.16,78.53,88.2,67.54,81.3
33.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-4,1,24,75.18,79.02,93.06,88.27,77.98,88.8,68.58,81.55571428571429
34.0,bert-large-uncased,0,_concat_mean_5_tokens-4,1,24,75.47,79.15,93.13,87.33,77.92,87.4,67.42,81.11714285714285
35.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-4,1,24,75.49,78.09,92.88,68.77,50.08,87.2,65.33,73.97714285714285
36.0,bert-large-uncased,0,_cls-5,1,24,69.06,66.17,90.79,81.79,78.86,64.2,67.01,73.98285714285716
37.0,bert-large-uncased,0,_mean-5,1,24,75.1,74.81,92.37,87.63,80.67,83.0,72.64,80.88857142857144
38.0,bert-large-uncased,0,_mean_exclude_cls_sep-5,1,24,75.48,77.16,92.31,88.16,80.83,86.4,72.41,81.82142857142857
39.0,bert-large-uncased,0,_concat_cls_with_mean-5,1,24,74.96,76.9,92.73,87.66,81.82,82.0,73.51,81.36857142857143
40.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-5,1,24,74.97,76.82,92.37,87.96,81.33,83.2,72.93,81.36857142857141
41.0,bert-large-uncased,0,_concat_mean_3_tokens-5,1,24,75.7,78.28,92.81,88.39,80.12,87.2,67.54,81.4342857142857
42.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-5,1,24,75.15,77.59,92.93,87.94,78.42,89.4,67.71,81.3057142857143
43.0,bert-large-uncased,0,_concat_mean_5_tokens-5,1,24,75.51,78.44,93.54,87.69,77.98,87.0,65.04,80.74285714285715
44.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-5,1,24,76.03,78.01,93.61,68.77,50.08,88.2,65.8,74.35714285714286
45.0,bert-large-uncased,0,_cls-6,1,24,70.53,68.95,90.71,83.34,77.81,61.6,69.86,74.68571428571428
46.0,bert-large-uncased,0,_mean-6,1,24,75.78,75.92,92.62,87.22,81.27,83.6,74.09,81.5
47.0,bert-large-uncased,0,_mean_exclude_cls_sep-6,1,24,75.8,77.03,92.71,87.94,81.49,84.6,74.26,81.97571428571428
48.0,bert-large-uncased,0,_concat_cls_with_mean-6,1,24,75.81,77.75,93.01,88.06,81.0,84.4,74.14,82.02428571428571
49.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-6,1,24,75.61,77.38,93.25,87.97,80.62,85.6,73.91,82.04857142857144
50.0,bert-large-uncased,0,_concat_mean_3_tokens-6,1,24,76.1,78.83,93.36,87.69,79.3,87.6,68.41,81.61285714285714
51.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-6,1,24,75.71,78.97,93.82,88.37,77.98,87.4,68.99,81.60571428571428
52.0,bert-large-uncased,0,_concat_mean_5_tokens-6,1,24,75.7,78.41,94.1,87.37,77.65,88.0,69.51,81.53428571428572
53.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-6,1,24,76.19,78.92,93.77,68.77,50.08,87.4,66.9,74.57571428571428
54.0,bert-large-uncased,0,_cls-7,1,24,72.26,72.5,91.64,84.88,78.42,70.0,68.23,76.84714285714286
55.0,bert-large-uncased,0,_mean-7,1,24,75.39,76.72,93.11,87.55,81.33,85.6,73.8,81.92857142857143
56.0,bert-large-uncased,0,_mean_exclude_cls_sep-7,1,24,75.57,77.77,93.24,88.41,80.89,85.6,73.22,82.10000000000001
57.0,bert-large-uncased,0,_concat_cls_with_mean-7,1,24,75.76,77.25,93.58,88.07,82.21,83.6,73.62,82.01285714285713
58.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-7,1,24,75.81,78.17,93.65,88.53,81.93,87.6,73.91,82.8
59.0,bert-large-uncased,0,_concat_mean_3_tokens-7,1,24,76.04,79.36,94.04,88.63,78.86,88.6,68.93,82.0657142857143
60.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-7,1,24,76.27,79.15,93.73,88.21,78.36,88.4,68.99,81.87285714285714
61.0,bert-large-uncased,0,_concat_mean_5_tokens-7,1,24,76.46,79.07,93.93,87.78,78.58,89.2,66.84,81.69428571428571
62.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-7,1,24,76.4,78.25,93.98,68.77,50.08,89.6,67.01,74.86999999999999
63.0,bert-large-uncased,0,_cls-8,1,24,72.08,72.5,91.4,84.27,77.87,68.6,67.65,76.33857142857143
64.0,bert-large-uncased,0,_mean-8,1,24,76.06,76.56,92.98,86.77,82.1,84.6,73.33,81.77142857142859
65.0,bert-large-uncased,0,_mean_exclude_cls_sep-8,1,24,75.92,77.62,93.01,88.19,82.54,86.0,72.46,82.24857142857142
66.0,bert-large-uncased,0,_concat_cls_with_mean-8,1,24,75.51,77.75,93.42,87.71,81.49,85.0,73.45,82.04714285714286
67.0,bert-large-uncased,0,_concat_cls_with_mean_exclude_cls_sep-8,1,24,75.78,77.8,93.75,88.2,81.99,87.0,73.45,82.56714285714285
68.0,bert-large-uncased,0,_concat_mean_3_tokens-8,1,24,76.17,78.2,94.24,88.38,79.13,87.6,68.87,81.79857142857144
69.0,bert-large-uncased,0,_concat_mean_3_tokens_exclude_cls_and_sep-8,1,24,76.03,78.54,93.72,88.0,79.02,88.0,68.75,81.72285714285714
70.0,bert-large-uncased,0,_concat_mean_5_tokens-8,1,24,76.52,78.07,94.08,87.76,79.3,90.6,68.58,82.13
71.0,bert-large-uncased,0,_concat_mean_5_tokens_exclude_cls_and_sep-8,1,24,76.52,78.23,93.9,68.77,50.08,88.4,64.81,74.38714285714286
72.0,bert-large-uncased,0,_cls-9,1,24,71.94,73.51,92.23,84.41,76.22,75.4,67.13,77.26285714285714
73.0,bert-large-uncased,0,_mean-9,1,24,75.81,76.5,93.49,87.31,81.6,84.0,73.22,81.70428571428572
