Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
roberta-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,79.51,74.2,91.51,86.73,87.15,85.8,65.51,81.48714285714287
roberta-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,83.65,84.16,93.66,87.4,90.55,88.8,72.46,85.81142857142858
roberta-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,83.59,86.09,94.07,87.61,89.79,91.8,67.59,85.79142857142858
roberta-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,79.42,74.12,92.15,86.79,88.58,85.8,72.35,82.74428571428572
roberta-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,83.89,84.42,93.92,87.38,90.77,90.4,72.58,86.19428571428571
roberta-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,83.59,86.99,94.38,87.95,89.73,92.6,67.19,86.06142857142858
roberta-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,79.62,73.7,91.93,86.86,88.25,85.6,71.83,82.54142857142858
roberta-base,DY3_LYR-7,torch.Size([2304]),1,12,0,84.88,87.26,94.5,88.85,89.29,90.0,69.04,86.25999999999999
roberta-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,84.93,88.11,94.59,88.65,89.68,91.4,66.72,86.29714285714286
roberta-base,DY5_LYR-7,torch.Size([3840]),1,12,0,85.19,88.63,94.18,88.3,89.24,89.2,64.81,85.64999999999999
roberta-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,84.73,89.43,94.35,68.77,88.74,92.4,64.12,83.22
roberta-base,CLS_LYR-8,torch.Size([768]),1,12,0,71.42,63.76,81.64,68.77,81.16,45.0,66.49,68.32000000000001
roberta-base,AVG_LYR-8,torch.Size([768]),1,12,0,83.97,87.39,93.82,87.44,90.72,90.8,66.49,85.80428571428571
roberta-base,SUM_LYR-8,torch.Size([768]),1,12,0,83.66,87.26,94.31,87.24,90.77,92.8,63.54,85.6542857142857
roberta-base,MAX_LYR-8,torch.Size([768]),1,12,0,80.47,73.85,92.01,86.81,86.82,82.8,65.45,81.17285714285715
roberta-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,84.07,87.39,93.89,87.47,90.77,91.8,66.49,85.98285714285713
roberta-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,83.57,87.58,94.33,87.21,90.28,93.0,66.49,86.06571428571428
roberta-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,79.91,73.99,91.86,86.64,86.99,82.2,65.45,81.00571428571428
roberta-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,84.28,82.89,93.66,87.12,90.61,90.2,72.64,85.91428571428573
roberta-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,83.74,86.2,93.52,87.7,90.44,91.4,66.78,85.68285714285715
roberta-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,81.15,72.63,92.12,86.65,86.99,84.6,70.2,82.04857142857144
roberta-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,84.67,83.29,93.7,87.44,90.77,87.6,72.35,85.68857142857144
roberta-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,83.55,87.23,93.54,87.38,90.28,91.8,67.94,85.96000000000001
roberta-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,80.9,74.2,92.26,86.78,86.93,85.2,71.59,82.55142857142857
roberta-base,DY3_LYR-8,torch.Size([2304]),1,12,0,84.61,88.13,94.7,88.62,90.06,89.6,67.3,86.14571428571428
roberta-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,84.98,88.29,94.62,88.59,89.84,91.2,66.84,86.33714285714288
roberta-base,DY5_LYR-8,torch.Size([3840]),1,12,0,85.56,89.3,94.58,88.05,89.4,90.6,68.52,86.57285714285715
roberta-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,85.46,89.38,94.6,68.77,89.57,92.4,65.91,83.72714285714285
roberta-base,CLS_LYR-9,torch.Size([768]),1,12,0,74.58,63.76,82.98,68.77,81.11,33.0,66.49,67.24142857142857
roberta-base,AVG_LYR-9,torch.Size([768]),1,12,0,84.1,86.52,93.69,86.99,90.5,88.0,66.49,85.1842857142857
roberta-base,SUM_LYR-9,torch.Size([768]),1,12,0,82.87,86.62,93.77,86.83,90.83,91.8,64.17,85.26999999999998
roberta-base,MAX_LYR-9,torch.Size([768]),1,12,0,79.66,72.34,91.49,85.82,86.33,82.6,66.49,80.67571428571429
roberta-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,83.62,86.97,93.7,87.27,90.72,88.2,66.49,85.28142857142858
roberta-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,82.91,86.62,93.81,87.02,90.88,91.2,66.49,85.56142857142858
roberta-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,78.95,70.73,91.22,85.99,86.27,85.0,66.49,80.66428571428571
roberta-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,83.47,83.15,93.73,87.47,90.44,86.0,73.16,85.34571428571428
roberta-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,82.56,86.54,93.81,86.93,90.44,92.2,66.55,85.57571428571428
roberta-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,78.98,68.48,91.68,85.96,87.15,84.4,70.72,81.05285714285715
roberta-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,83.4,82.7,93.49,87.38,90.61,83.4,71.77,84.67857142857143
roberta-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,82.7,86.25,93.47,86.68,90.5,90.8,66.03,85.2042857142857
roberta-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,79.2,69.72,91.51,85.93,87.15,84.6,66.78,80.69857142857143
roberta-base,DY3_LYR-9,torch.Size([2304]),1,12,0,84.62,88.05,94.61,88.36,89.51,90.0,68.7,86.26428571428573
roberta-base,DY3-NS_LYR-9,torch.Size([2304]),1,12,0,84.65,87.74,94.74,87.94,89.79,91.6,67.36,86.26
roberta-base,DY5_LYR-9,torch.Size([3840]),1,12,0,84.92,88.26,94.98,87.58,89.79,89.8,68.58,86.27285714285715
roberta-base,DY5-NS_LYR-9,torch.Size([3840]),1,12,0,84.89,88.08,94.86,68.77,89.29,93.0,67.94,83.83285714285714
roberta-base,CLS_LYR-10,torch.Size([768]),1,12,0,76.08,63.76,85.89,68.77,80.83,38.0,66.49,68.54571428571428
roberta-base,AVG_LYR-10,torch.Size([768]),1,12,0,83.63,86.38,93.66,87.03,90.5,89.2,66.49,85.27
roberta-base,SUM_LYR-10,torch.Size([768]),1,12,0,83.07,86.54,94.01,86.46,90.28,92.4,66.43,85.59857142857143
roberta-base,MAX_LYR-10,torch.Size([768]),1,12,0,79.18,70.89,91.4,86.08,87.04,84.2,66.49,80.75428571428571
roberta-base,AVG-NS_LYR-10,torch.Size([768]),1,12,0,83.26,86.38,93.78,87.08,90.5,89.2,66.49,85.24142857142856
roberta-base,SUM-NS_LYR-10,torch.Size([768]),1,12,0,83.07,86.54,94.26,86.59,89.62,90.8,63.01,84.84142857142857
roberta-base,MAX-NS_LYR-10,torch.Size([768]),1,12,0,79.44,70.73,91.72,86.34,87.7,84.2,66.49,80.94571428571429
roberta-base,CLS+AVG_LYR-10,torch.Size([1536]),1,12,0,82.4,82.01,93.47,86.52,90.06,88.4,75.07,85.41857142857144
roberta-base,CLS+SUM_LYR-10,torch.Size([1536]),1,12,0,83.13,86.55,93.73,86.99,89.51,92.2,67.25,85.62285714285714
roberta-base,CLS+MAX_LYR-10,torch.Size([1536]),1,12,0,79.87,69.96,92.12,85.94,87.92,83.8,71.36,81.56714285714285
roberta-base,CLS+AVG-NS_LYR-10,torch.Size([1536]),1,12,0,82.75,82.73,93.64,87.59,90.44,89.6,75.07,85.9742857142857
roberta-base,CLS+SUM-NS_LYR-10,torch.Size([1536]),1,12,0,83.55,86.23,93.52,87.09,89.35,93.2,66.96,85.70000000000002
roberta-base,CLS+MAX-NS_LYR-10,torch.Size([1536]),1,12,0,79.9,69.72,91.91,86.22,87.7,84.4,70.61,81.49428571428572
roberta-base,DY3_LYR-10,torch.Size([2304]),1,12,0,83.94,87.23,94.62,88.26,89.18,90.6,68.75,86.08285714285715
roberta-base,DY3-NS_LYR-10,torch.Size([2304]),1,12,0,83.69,88.21,94.42,87.77,89.02,91.0,66.67,85.82571428571427
roberta-base,DY5_LYR-10,torch.Size([3840]),1,12,0,84.55,88.29,95.27,87.47,89.35,89.0,68.12,86.00714285714287
roberta-base,DY5-NS_LYR-10,torch.Size([3840]),1,12,0,83.95,87.44,94.63,68.77,88.03,92.8,66.2,83.11714285714285
roberta-base,CLS_LYR-11,torch.Size([768]),1,12,0,77.53,63.76,85.77,68.77,83.09,47.0,66.49,70.3442857142857
roberta-base,AVG_LYR-11,torch.Size([768]),1,12,0,82.52,84.42,93.55,86.17,89.51,87.8,66.49,84.35142857142857
roberta-base,SUM_LYR-11,torch.Size([768]),1,12,0,82.18,86.2,93.31,86.06,88.74,91.2,66.72,84.9157142857143
roberta-base,MAX_LYR-11,torch.Size([768]),1,12,0,77.65,70.12,92.04,84.8,85.34,82.0,66.49,79.77714285714286
roberta-base,AVG-NS_LYR-11,torch.Size([768]),1,12,0,82.65,85.27,93.75,86.11,89.68,86.6,63.71,83.96714285714287
roberta-base,SUM-NS_LYR-11,torch.Size([768]),1,12,0,82.07,86.68,93.5,85.86,89.4,92.8,62.78,84.72714285714285
roberta-base,MAX-NS_LYR-11,torch.Size([768]),1,12,0,77.8,70.86,92.44,84.91,85.01,82.4,66.49,79.98714285714286
roberta-base,CLS+AVG_LYR-11,torch.Size([1536]),1,12,0,82.58,80.66,93.87,86.4,89.95,83.2,73.62,84.32571428571428
roberta-base,CLS+SUM_LYR-11,torch.Size([1536]),1,12,0,82.13,85.85,93.72,86.09,89.46,92.4,65.91,85.08
roberta-base,CLS+MAX_LYR-11,torch.Size([1536]),1,12,0,78.88,71.81,92.42,85.04,86.38,82.0,72.0,81.21857142857142
roberta-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),1,12,0,82.84,80.87,93.8,86.44,89.73,88.2,74.14,85.14571428571428
roberta-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),1,12,0,81.93,85.48,93.87,85.8,89.84,92.2,67.25,85.1957142857143
roberta-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),1,12,0,78.61,70.83,92.46,85.21,86.16,82.4,70.26,80.84714285714286
roberta-base,DY3_LYR-11,torch.Size([2304]),1,12,0,84.05,86.92,94.81,87.8,88.3,90.6,68.23,85.8157142857143
roberta-base,DY3-NS_LYR-11,torch.Size([2304]),1,12,0,83.83,86.33,94.87,87.31,87.64,90.8,68.81,85.65571428571427
roberta-base,DY5_LYR-11,torch.Size([3840]),1,12,0,83.9,86.57,95.21,86.95,87.75,89.2,68.93,85.50142857142858
roberta-base,DY5-NS_LYR-11,torch.Size([3840]),1,12,0,83.73,86.67,94.96,68.77,87.86,91.0,67.36,82.90714285714286
roberta-base,CLS_LYR-12,torch.Size([768]),1,12,0,77.47,63.76,91.5,68.77,84.62,50.2,66.49,71.83
roberta-base,AVG_LYR-12,torch.Size([768]),1,12,0,80.91,79.1,93.18,83.66,87.81,78.8,66.49,81.42142857142858
roberta-base,SUM_LYR-12,torch.Size([768]),1,12,0,82.51,85.46,94.7,84.73,89.46,91.0,66.49,84.90714285714286
roberta-base,MAX_LYR-12,torch.Size([768]),1,12,0,75.74,63.81,91.43,80.67,82.87,78.8,68.99,77.47285714285715
roberta-base,AVG-NS_LYR-12,torch.Size([768]),1,12,0,80.89,77.38,93.29,84.47,88.41,80.0,66.49,81.56142857142856
roberta-base,SUM-NS_LYR-12,torch.Size([768]),1,12,0,82.43,84.77,94.61,84.75,89.18,91.2,66.49,84.7757142857143
roberta-base,MAX-NS_LYR-12,torch.Size([768]),1,12,0,75.76,63.87,91.47,82.04,82.87,78.8,68.99,77.68571428571428
roberta-base,CLS+AVG_LYR-12,torch.Size([1536]),1,12,0,81.49,77.54,93.12,83.8,87.86,80.6,74.26,82.66714285714285
roberta-base,CLS+SUM_LYR-12,torch.Size([1536]),1,12,0,82.44,85.38,94.19,85.1,88.8,93.2,67.94,85.29285714285713
roberta-base,CLS+MAX_LYR-12,torch.Size([1536]),1,12,0,77.21,63.79,92.3,83.57,85.34,75.4,72.41,78.57428571428571
roberta-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),1,12,0,81.33,76.95,93.06,84.58,87.7,80.6,74.32,82.64857142857143
roberta-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),1,12,0,82.7,86.01,94.14,85.36,89.07,93.2,67.83,85.47285714285715
roberta-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),1,12,0,77.8,63.79,92.3,83.66,84.51,75.6,72.46,78.58857142857143
roberta-base,DY3_LYR-12,torch.Size([2304]),1,12,0,82.35,81.72,93.99,85.52,87.04,87.2,69.04,83.83714285714287
roberta-base,DY3-NS_LYR-12,torch.Size([2304]),1,12,0,82.26,82.91,93.97,85.34,86.71,88.4,68.75,84.04857142857144
roberta-base,DY5_LYR-12,torch.Size([3840]),1,12,0,82.66,83.55,94.17,85.81,86.11,86.2,68.29,83.82714285714285
roberta-base,DY5-NS_LYR-12,torch.Size([3840]),1,12,0,82.95,83.74,94.26,68.77,87.15,91.0,70.03,82.55714285714285
roberta-base,CLS_SUML4L,torch.Size([768]),1,12,0,77.82,63.76,91.07,68.77,84.84,42.8,66.49,70.79285714285714
roberta-base,AVG_SUML4L,torch.Size([768]),1,12,0,84.21,88.19,94.1,87.14,90.06,93.2,62.61,85.64428571428572
roberta-base,SUM_SUML4L,torch.Size([768]),1,12,0,79.85,83.76,93.03,85.66,89.4,88.2,66.09,83.71285714285715
roberta-base,MAX_SUML4L,torch.Size([768]),1,12,0,78.51,70.38,92.15,85.33,86.38,87.4,66.49,80.94857142857143
roberta-base,AVG-NS_SUML4L,torch.Size([768]),1,12,0,84.27,88.05,94.15,87.06,90.12,92.0,66.49,86.02000000000001
roberta-base,SUM-NS_SUML4L,torch.Size([768]),1,12,0,79.94,85.83,93.02,85.61,89.35,91.0,66.49,84.46285714285715
roberta-base,MAX-NS_SUML4L,torch.Size([768]),1,12,0,78.57,71.89,92.07,85.55,86.33,87.8,66.49,81.24285714285713
roberta-base,CLS+AVG_SUML4L,torch.Size([1536]),1,12,0,83.88,86.81,94.05,87.09,89.79,92.2,69.74,86.22285714285715
roberta-base,CLS+SUM_SUML4L,torch.Size([1536]),1,12,0,80.74,86.04,92.95,86.2,89.02,90.6,65.28,84.4042857142857
roberta-base,CLS+MAX_SUML4L,torch.Size([1536]),1,12,0,79.7,76.58,92.99,86.42,86.49,88.0,65.62,82.25714285714285
roberta-base,CLS+AVG-NS_SUML4L,torch.Size([1536]),1,12,0,84.23,86.09,94.18,87.19,90.5,92.4,70.43,86.43142857142857
roberta-base,CLS+SUM-NS_SUML4L,torch.Size([1536]),1,12,0,80.8,84.69,92.96,86.07,89.29,90.4,66.49,84.38571428571429
roberta-base,CLS+MAX-NS_SUML4L,torch.Size([1536]),1,12,0,79.46,74.51,93.03,86.15,86.38,88.2,66.61,82.04857142857142
roberta-base,DY3_SUML4L,torch.Size([2304]),1,12,0,84.96,88.45,95.23,88.28,89.4,91.0,67.59,86.41571428571429
roberta-base,DY3-NS_SUML4L,torch.Size([2304]),1,12,0,84.66,88.61,95.55,87.35,89.29,91.0,66.49,86.13571428571429
roberta-base,DY5_SUML4L,torch.Size([3840]),1,12,0,84.86,88.16,95.53,87.41,88.58,90.8,65.04,85.7685714285714
roberta-base,DY5-NS_SUML4L,torch.Size([3840]),1,12,0,84.71,88.34,95.38,68.77,88.08,93.6,64.17,83.29285714285713
roberta-base,CLS_AVGL4L,torch.Size([768]),1,12,0,77.74,63.76,89.96,68.77,83.53,38.8,66.49,69.86428571428571
roberta-base,AVG_AVGL4L,torch.Size([768]),1,12,0,83.1,85.14,93.67,86.39,90.39,85.0,66.49,84.31142857142858
roberta-base,SUM_AVGL4L,torch.Size([768]),1,12,0,83.09,87.21,93.98,86.44,90.28,93.2,65.8,85.71428571428571
roberta-base,MAX_AVGL4L,torch.Size([768]),1,12,0,78.98,70.09,92.02,85.96,86.11,83.8,66.49,80.49285714285713
roberta-base,AVG-NS_AVGL4L,torch.Size([768]),1,12,0,83.26,85.7,93.44,86.69,90.33,90.2,66.49,85.15857142857143
roberta-base,SUM-NS_AVGL4L,torch.Size([768]),1,12,0,83.4,87.05,94.04,86.46,90.39,92.6,66.49,85.77571428571427
roberta-base,MAX-NS_AVGL4L,torch.Size([768]),1,12,0,79.17,70.09,92.25,85.69,85.83,83.8,66.49,80.4742857142857
roberta-base,CLS+AVG_AVGL4L,torch.Size([1536]),1,12,0,82.85,78.91,93.89,86.85,90.17,89.8,74.67,85.30571428571429
roberta-base,CLS+SUM_AVGL4L,torch.Size([1536]),1,12,0,83.86,86.91,93.31,86.91,90.23,92.0,66.32,85.64857142857143
roberta-base,CLS+MAX_AVGL4L,torch.Size([1536]),1,12,0,78.82,68.24,92.48,86.11,86.11,80.6,72.81,80.73857142857143
roberta-base,CLS+AVG-NS_AVGL4L,torch.Size([1536]),1,12,0,82.64,82.75,93.89,87.01,90.12,88.4,75.19,85.71428571428571
roberta-base,CLS+SUM-NS_AVGL4L,torch.Size([1536]),1,12,0,83.41,87.26,93.09,86.82,90.12,91.8,66.2,85.52857142857144
roberta-base,CLS+MAX-NS_AVGL4L,torch.Size([1536]),1,12,0,79.32,69.67,92.42,86.37,85.72,84.8,72.06,81.48
roberta-base,DY3_AVGL4L,torch.Size([2304]),1,12,0,83.94,87.05,94.56,88.02,89.13,88.4,68.64,85.67714285714285
roberta-base,DY3-NS_AVGL4L,torch.Size([2304]),1,12,0,83.75,86.07,94.61,87.15,89.4,90.2,67.59,85.53857142857144
roberta-base,DY5_AVGL4L,torch.Size([3840]),1,12,0,84.66,87.26,95.06,87.41,88.58,89.0,65.28,85.32142857142857
roberta-base,DY5-NS_AVGL4L,torch.Size([3840]),1,12,0,84.22,88.37,94.78,68.77,88.41,91.2,66.61,83.19428571428571
roberta-base,CLS_SUMALL,torch.Size([768]),1,12,0,75.53,63.76,88.77,68.77,85.17,39.0,66.49,69.64142857142858
roberta-base,AVG_SUMALL,torch.Size([768]),1,12,0,83.46,87.76,94.71,87.9,90.23,90.4,62.78,85.32000000000001
roberta-base,SUM_SUMALL,torch.Size([768]),1,12,0,78.2,83.34,92.81,85.46,89.35,88.0,62.43,82.79857142857142
roberta-base,MAX_SUMALL,torch.Size([768]),1,12,0,74.49,64.63,90.16,85.24,86.44,86.0,64.99,78.85
roberta-base,AVG-NS_SUMALL,torch.Size([768]),1,12,0,83.57,87.39,94.45,88.11,90.5,90.6,66.49,85.87285714285714
roberta-base,SUM-NS_SUMALL,torch.Size([768]),1,12,0,78.34,83.13,92.6,85.52,89.51,88.4,66.43,83.41857142857144
roberta-base,MAX-NS_SUMALL,torch.Size([768]),1,12,0,74.84,64.32,90.26,85.79,86.11,86.4,64.87,78.94142857142857
roberta-base,CLS+AVG_SUMALL,torch.Size([1536]),1,12,0,83.34,85.99,94.46,87.99,90.88,90.0,68.29,85.85
roberta-base,CLS+SUM_SUMALL,torch.Size([1536]),1,12,0,79.07,85.56,92.89,85.71,89.95,87.2,67.13,83.92999999999999
roberta-base,CLS+MAX_SUMALL,torch.Size([1536]),1,12,0,77.74,71.21,90.95,85.95,87.48,89.6,63.3,80.88999999999999
roberta-base,CLS+AVG-NS_SUMALL,torch.Size([1536]),1,12,0,83.19,86.65,94.51,87.65,90.23,89.8,67.65,85.66857142857143
roberta-base,CLS+SUM-NS_SUMALL,torch.Size([1536]),1,12,0,79.37,83.26,93.19,86.07,87.75,87.8,65.39,83.26142857142857
roberta-base,CLS+MAX-NS_SUMALL,torch.Size([1536]),1,12,0,78.02,69.25,91.3,86.11,87.1,88.2,66.49,80.9242857142857
roberta-base,DY3_SUMALL,torch.Size([2304]),1,12,0,83.85,87.76,95.05,89.07,89.57,91.0,66.49,86.11285714285714
roberta-base,DY3-NS_SUMALL,torch.Size([2304]),1,12,0,84.22,87.95,95.16,88.15,89.62,90.6,65.1,85.82857142857144
roberta-base,DY5_SUMALL,torch.Size([3840]),1,12,0,83.65,86.33,94.35,87.13,88.58,87.8,65.28,84.73142857142857
roberta-base,DY5-NS_SUMALL,torch.Size([3840]),1,12,0,83.32,86.49,94.97,68.77,87.37,88.8,65.33,82.14999999999999
roberta-base,CLS_AVGALL,torch.Size([768]),1,12,0,72.33,63.76,84.74,68.77,81.6,34.8,66.49,67.49857142857142
roberta-base,AVG_AVGALL,torch.Size([768]),1,12,0,82.68,84.53,93.4,87.76,89.51,91.0,66.49,85.05285714285715
roberta-base,SUM_AVGALL,torch.Size([768]),1,12,0,82.48,85.8,93.89,87.56,89.9,91.2,66.49,85.33142857142857
roberta-base,MAX_AVGALL,torch.Size([768]),1,12,0,77.84,66.39,91.55,85.98,86.99,76.8,65.28,78.69000000000001
roberta-base,AVG-NS_AVGALL,torch.Size([768]),1,12,0,82.74,83.76,93.37,87.84,89.51,91.0,66.49,84.95857142857143
roberta-base,SUM-NS_AVGALL,torch.Size([768]),1,12,0,82.19,85.77,93.8,87.74,89.9,92.0,66.38,85.39714285714285
roberta-base,MAX-NS_AVGALL,torch.Size([768]),1,12,0,77.89,69.59,91.55,86.16,86.55,76.8,65.39,79.13285714285715
roberta-base,CLS+AVG_AVGALL,torch.Size([1536]),1,12,0,82.72,77.93,93.56,87.64,89.79,88.2,71.83,84.52428571428572
roberta-base,CLS+SUM_AVGALL,torch.Size([1536]),1,12,0,82.91,85.03,93.74,87.56,89.79,90.4,67.77,85.31428571428572
roberta-base,CLS+MAX_AVGALL,torch.Size([1536]),1,12,0,78.31,63.87,91.44,86.15,85.45,78.2,72.12,79.36285714285714
roberta-base,CLS+AVG-NS_AVGALL,torch.Size([1536]),1,12,0,82.67,78.76,93.5,87.8,89.84,88.6,72.99,84.88000000000001
roberta-base,CLS+SUM-NS_AVGALL,torch.Size([1536]),1,12,0,83.38,85.22,93.89,87.53,89.79,91.4,67.59,85.54285714285716
roberta-base,CLS+MAX-NS_AVGALL,torch.Size([1536]),1,12,0,78.12,63.92,91.68,86.09,86.99,77.0,73.39,79.59857142857143
roberta-base,DY3_AVGALL,torch.Size([2304]),1,12,0,83.81,84.24,94.52,88.69,89.62,89.4,68.23,85.50142857142858
roberta-base,DY3-NS_AVGALL,torch.Size([2304]),1,12,0,83.34,85.69,94.13,88.51,89.02,89.4,67.48,85.36714285714285
roberta-base,DY5_AVGALL,torch.Size([3840]),1,12,0,83.87,86.07,94.49,88.34,88.58,88.6,65.74,85.09857142857142
roberta-base,DY5-NS_AVGALL,torch.Size([3840]),1,12,0,83.36,85.91,94.46,68.77,87.7,90.4,61.16,81.67999999999998
deberta-base,CLS_LYR-7,torch.Size([768]),1,12,0,53.06,63.76,55.8,68.77,49.92,18.8,66.49,53.8
deberta-base,AVG_LYR-7,torch.Size([768]),1,12,0,82.99,82.73,94.0,90.25,90.77,92.6,75.48,86.97428571428573
deberta-base,SUM_LYR-7,torch.Size([768]),1,12,0,83.2,87.52,94.46,90.08,90.99,94.8,68.93,87.14
deberta-base,MAX_LYR-7,torch.Size([768]),1,12,0,80.84,79.18,91.94,89.38,87.75,89.6,74.32,84.71571428571428
deberta-base,AVG-NS_LYR-7,torch.Size([768]),1,12,0,83.35,83.05,94.18,90.34,90.88,93.6,75.48,87.26857142857143
deberta-base,SUM-NS_LYR-7,torch.Size([768]),1,12,0,83.3,87.47,94.52,90.54,90.94,94.6,66.61,86.85428571428572
deberta-base,MAX-NS_LYR-7,torch.Size([768]),1,12,0,80.89,79.18,91.94,89.79,87.64,89.6,74.32,84.76571428571427
deberta-base,CLS+AVG_LYR-7,torch.Size([1536]),1,12,0,83.47,85.99,94.15,89.89,90.72,93.6,75.83,87.66428571428573
deberta-base,CLS+SUM_LYR-7,torch.Size([1536]),1,12,0,82.87,88.48,94.66,90.2,90.12,96.0,71.59,87.70285714285714
deberta-base,CLS+MAX_LYR-7,torch.Size([1536]),1,12,0,80.27,77.78,92.08,89.13,87.1,92.0,71.59,84.27857142857144
deberta-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),1,12,0,83.42,86.62,94.09,90.44,90.94,94.0,76.06,87.93857142857142
deberta-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),1,12,0,83.69,87.1,94.65,90.21,90.06,96.0,71.77,87.64
deberta-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),1,12,0,80.44,77.78,92.08,89.19,87.1,92.0,71.59,84.31142857142858
deberta-base,DY3_LYR-7,torch.Size([2304]),1,12,0,84.49,87.95,94.68,90.31,89.4,89.4,68.46,86.38428571428572
deberta-base,DY3-NS_LYR-7,torch.Size([2304]),1,12,0,84.35,88.9,94.99,68.77,89.57,94.0,67.65,84.03285714285713
deberta-base,DY5_LYR-7,torch.Size([3840]),1,12,0,84.32,88.8,95.13,68.77,88.96,84.6,63.07,81.95
deberta-base,DY5-NS_LYR-7,torch.Size([3840]),1,12,0,83.79,89.38,95.59,68.77,50.08,94.2,70.03,78.8342857142857
deberta-base,CLS_LYR-8,torch.Size([768]),1,12,0,54.81,63.76,58.97,68.77,49.92,18.8,66.49,54.502857142857145
deberta-base,AVG_LYR-8,torch.Size([768]),1,12,0,85.02,87.5,94.66,89.66,91.54,93.6,75.94,88.2742857142857
deberta-base,SUM_LYR-8,torch.Size([768]),1,12,0,84.47,87.79,94.44,89.67,91.65,95.2,68.46,87.38285714285715
deberta-base,MAX_LYR-8,torch.Size([768]),1,12,0,82.35,79.68,92.74,89.03,89.07,89.8,72.06,84.96142857142857
deberta-base,AVG-NS_LYR-8,torch.Size([768]),1,12,0,85.08,87.42,94.62,90.21,91.43,94.0,76.12,88.41142857142857
deberta-base,SUM-NS_LYR-8,torch.Size([768]),1,12,0,84.2,88.37,94.45,89.74,91.6,95.2,68.12,87.38285714285715
deberta-base,MAX-NS_LYR-8,torch.Size([768]),1,12,0,82.36,79.71,92.74,89.45,89.02,89.2,72.06,84.9342857142857
deberta-base,CLS+AVG_LYR-8,torch.Size([1536]),1,12,0,85.28,86.81,94.65,89.6,91.65,93.8,75.48,88.18142857142857
deberta-base,CLS+SUM_LYR-8,torch.Size([1536]),1,12,0,85.65,89.4,95.01,89.56,91.6,96.0,70.55,88.25285714285714
deberta-base,CLS+MAX_LYR-8,torch.Size([1536]),1,12,0,82.62,77.94,92.24,88.42,88.8,92.4,72.46,84.98285714285716
deberta-base,CLS+AVG-NS_LYR-8,torch.Size([1536]),1,12,0,85.2,88.24,94.58,90.29,91.6,94.6,75.65,88.5942857142857
deberta-base,CLS+SUM-NS_LYR-8,torch.Size([1536]),1,12,0,85.23,89.19,94.99,89.61,91.65,96.0,70.32,88.14142857142858
deberta-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,82.65,77.91,92.24,88.87,88.69,90.8,72.46,84.80285714285715
deberta-base,DY3_LYR-8,torch.Size([2304]),1,12,0,84.52,88.82,94.92,90.14,90.77,91.8,68.93,87.1285714285714
deberta-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,85.88,88.9,94.92,68.77,91.16,93.8,66.67,84.29999999999998
deberta-base,DY5_LYR-8,torch.Size([3840]),1,12,0,86.0,89.93,95.15,68.77,90.5,87.2,63.42,82.99571428571429
deberta-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,85.45,89.8,95.42,68.77,50.08,94.6,70.32,79.2057142857143
