Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,TREC,MRPC,Avg_without_SST5
bert-base,CLS+MAX-NS_LYR-8,torch.Size([1536]),1,12,0,77.99,78.75,93.62,88.47,85.61,92.0,70.9,83.9057142857143
bert-base,DY3_LYR-8,torch.Size([2304]),1,12,0,80.38,83.58,94.54,89.39,81.11,92.2,68.99,84.31285714285715
bert-base,DY3-NS_LYR-8,torch.Size([2304]),1,12,0,79.78,83.97,94.63,89.02,82.1,91.8,67.71,84.14428571428572
bert-base,DY5_LYR-8,torch.Size([3840]),1,12,0,80.55,83.23,94.68,88.85,81.44,93.8,68.75,84.47142857142858
bert-base,DY5-NS_LYR-8,torch.Size([3840]),1,12,0,79.76,84.4,94.78,68.77,50.08,94.4,66.49,76.95428571428572
bert-base,CLS_LYR-9,torch.Size([768]),1,12,0,79.33,81.17,93.98,87.32,84.29,82.0,71.36,82.77857142857144
bert-base,AVG_LYR-9,torch.Size([768]),1,12,0,80.64,85.17,94.04,88.18,85.34,90.4,73.74,85.35857142857142
bert-base,SUM_LYR-9,torch.Size([768]),1,12,0,79.44,83.6,93.34,87.08,85.83,92.2,67.19,84.09714285714287
bert-base,MAX_LYR-9,torch.Size([768]),1,12,0,77.52,77.99,92.1,86.85,82.65,89.8,72.12,82.71857142857142
bert-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,80.76,85.27,94.13,87.82,85.45,90.0,74.26,85.38428571428571
bert-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,78.95,83.37,93.46,87.25,85.34,91.8,67.07,83.89142857142858
bert-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,77.53,78.3,92.39,86.69,82.7,90.4,70.78,82.6842857142857
bert-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,81.46,85.38,94.7,88.69,86.93,92.0,74.96,86.30285714285715
bert-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,78.0,83.39,93.45,88.24,85.5,91.6,70.61,84.39857142857143
bert-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,80.65,81.91,93.91,88.55,86.0,93.0,72.7,85.24571428571429
bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,81.21,84.29,94.85,88.94,87.37,91.4,74.9,86.13714285714286
bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,79.16,84.35,93.94,88.1,85.72,91.2,65.04,83.92999999999999
bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,80.78,82.91,94.38,88.92,86.99,93.2,72.58,85.68000000000002
bert-base,DY3_LYR-9,torch.Size([2304]),1,12,0,80.9,85.93,94.95,89.19,83.36,92.4,70.43,85.30857142857144
bert-base,DY3-NS_LYR-9,torch.Size([2304]),1,12,0,81.24,85.61,94.85,88.84,83.25,91.6,70.26,85.09285714285714
bert-base,DY5_LYR-9,torch.Size([3840]),1,12,0,81.79,86.25,95.1,88.56,83.14,93.8,68.75,85.34142857142857
bert-base,DY5-NS_LYR-9,torch.Size([3840]),1,12,0,81.62,86.6,95.02,68.77,50.08,93.6,65.68,77.33857142857141
bert-base,CLS_LYR-10,torch.Size([768]),1,12,0,81.21,82.83,94.1,87.08,86.44,83.8,70.32,83.68285714285715
bert-base,AVG_LYR-10,torch.Size([768]),1,12,0,80.76,85.27,94.2,88.05,85.94,88.8,74.14,85.30857142857143
bert-base,SUM_LYR-10,torch.Size([768]),1,12,0,78.22,83.97,93.56,87.51,85.61,90.2,68.29,83.90857142857143
bert-base,MAX_LYR-10,torch.Size([768]),1,12,0,78.96,78.97,93.17,87.26,84.62,89.0,71.65,83.37571428571428
bert-base,AVG-NS_LYR-10,torch.Size([768]),1,12,0,80.84,85.06,94.09,87.87,85.72,89.0,73.45,85.14714285714287
bert-base,SUM-NS_LYR-10,torch.Size([768]),1,12,0,76.95,83.39,93.68,86.58,84.62,90.8,66.96,83.28285714285714
bert-base,MAX-NS_LYR-10,torch.Size([768]),1,12,0,78.51,79.31,92.89,86.82,84.29,89.4,70.61,83.11857142857143
bert-base,CLS+AVG_LYR-10,torch.Size([1536]),1,12,0,82.29,85.64,94.85,88.67,87.31,90.8,75.13,86.38428571428571
bert-base,CLS+SUM_LYR-10,torch.Size([1536]),1,12,0,77.92,83.71,93.78,88.27,86.77,89.4,68.23,84.01142857142858
bert-base,CLS+MAX_LYR-10,torch.Size([1536]),1,12,0,81.63,85.17,94.4,88.22,86.82,90.4,70.96,85.3714285714286
bert-base,CLS+AVG-NS_LYR-10,torch.Size([1536]),1,12,0,82.22,84.85,94.88,89.04,87.26,91.0,75.25,86.35714285714286
bert-base,CLS+SUM-NS_LYR-10,torch.Size([1536]),1,12,0,78.51,83.42,93.84,88.45,86.16,89.6,68.64,84.08857142857143
bert-base,CLS+MAX-NS_LYR-10,torch.Size([1536]),1,12,0,81.71,83.74,94.61,88.29,87.1,90.6,72.06,85.44428571428573
bert-base,DY3_LYR-10,torch.Size([2304]),1,12,0,81.47,86.57,94.64,88.89,84.18,91.2,72.06,85.57285714285715
bert-base,DY3-NS_LYR-10,torch.Size([2304]),1,12,0,81.27,86.78,95.03,88.68,83.96,91.2,70.03,85.27857142857144
bert-base,DY5_LYR-10,torch.Size([3840]),1,12,0,81.57,86.81,94.94,88.7,84.24,92.4,65.62,84.89714285714285
bert-base,DY5-NS_LYR-10,torch.Size([3840]),1,12,0,81.77,86.12,95.11,68.77,50.08,93.4,69.28,77.78999999999999
bert-base,CLS_LYR-11,torch.Size([768]),1,12,0,81.67,84.03,94.55,87.67,87.1,86.0,70.55,84.50999999999999
bert-base,AVG_LYR-11,torch.Size([768]),1,12,0,80.33,84.93,94.33,88.0,85.06,87.8,73.97,84.91714285714285
bert-base,SUM_LYR-11,torch.Size([768]),1,12,0,78.06,83.68,93.6,87.11,85.34,90.4,64.46,83.23571428571428
bert-base,MAX_LYR-11,torch.Size([768]),1,12,0,77.78,79.79,93.33,87.37,83.96,85.6,72.29,82.8742857142857
bert-base,AVG-NS_LYR-11,torch.Size([768]),1,12,0,80.33,84.69,94.46,87.61,84.84,88.6,73.62,84.87857142857142
bert-base,SUM-NS_LYR-11,torch.Size([768]),1,12,0,77.4,83.84,93.52,86.68,84.84,90.0,63.71,82.85571428571428
bert-base,MAX-NS_LYR-11,torch.Size([768]),1,12,0,78.05,80.05,93.43,86.42,83.96,87.8,71.88,83.0842857142857
bert-base,CLS+AVG_LYR-11,torch.Size([1536]),1,12,0,82.28,85.03,94.9,88.55,87.48,89.8,73.04,85.86857142857143
bert-base,CLS+SUM_LYR-11,torch.Size([1536]),1,12,0,79.05,82.62,93.68,87.49,85.72,92.0,62.61,83.31000000000002
bert-base,CLS+MAX_LYR-11,torch.Size([1536]),1,12,0,81.7,83.29,94.78,87.87,86.71,90.2,75.01,85.65142857142857
