Unnamed: 0;Modelo;nhid;Pooling;epochs;qtd_layers;MR;CR;SUBJ;MPQA;SST2;TREC;MRPC;Avg_without_SST5
29,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-4;1,00;24,00;74,50;77,03;91,49;88,20;80,89;86,00;72,52;81,52
30,00;bert-large-uncased;0,00;_concat_cls_with_mean-4;1,00;24,00;74,48;76,71;91,46;87,19;81,22;81,40;71,88;80,62
31,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-4;1,00;24,00;74,67;76,32;91,46;87,82;81,22;82,20;72,64;80,90
32,00;bert-large-uncased;0,00;_concat_mean_3_tokens-4;1,00;24,00;74,89;78,73;93,05;88,16;78,53;88,20;67,54;81,30
33,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-4;1,00;24,00;75,18;79,02;93,06;88,27;77,98;88,80;68,58;81,56
34,00;bert-large-uncased;0,00;_concat_mean_5_tokens-4;1,00;24,00;75,47;79,15;93,13;87,33;77,92;87,40;67,42;81,12
35,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-4;1,00;24,00;75,49;78,09;92,88;68,77;50,08;87,20;65,33;73,98
36,00;bert-large-uncased;0,00;_cls-5;1,00;24,00;69,06;66,17;90,79;81,79;78,86;64,20;67,01;73,98
37,00;bert-large-uncased;0,00;_mean-5;1,00;24,00;75,10;74,81;92,37;87,63;80,67;83,00;72,64;80,89
38,00;bert-large-uncased;0,00;_mean_exclude_cls_sep-5;1,00;24,00;75,48;77,16;92,31;88,16;80,83;86,40;72,41;81,82
39,00;bert-large-uncased;0,00;_concat_cls_with_mean-5;1,00;24,00;74,96;76,90;92,73;87,66;81,82;82,00;73,51;81,37
40,00;bert-large-uncased;0,00;_concat_cls_with_mean_exclude_cls_sep-5;1,00;24,00;74,97;76,82;92,37;87,96;81,33;83,20;72,93;81,37
41,00;bert-large-uncased;0,00;_concat_mean_3_tokens-5;1,00;24,00;75,70;78,28;92,81;88,39;80,12;87,20;67,54;81,43
42,00;bert-large-uncased;0,00;_concat_mean_3_tokens_exclude_cls_and_sep-5;1,00;24,00;75,15;77,59;92,93;87,94;78,42;89,40;67,71;81,31
43,00;bert-large-uncased;0,00;_concat_mean_5_tokens-5;1,00;24,00;75,51;78,44;93,54;87,69;77,98;87,00;65,04;80,74
44,00;bert-large-uncased;0,00;_concat_mean_5_tokens_exclude_cls_and_sep-5;1,00;24,00;76,03;78,01;93,61;68,77;50,08;88,20;65,80;74,36
