,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
39,bert-large-uncased,_concat_cls_with_mean-5,0,1,24,74.96,76.9,92.73,87.66,81.82,42.53,82.0,73.51,76.51375,81.36857142857143
40,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-5,0,1,24,74.97,76.82,92.37,87.96,81.33,42.35,83.2,72.93,76.49125000000001,81.36857142857141
41,bert-large-uncased,_concat_mean_3_tokens-5,0,1,24,75.7,78.28,92.81,88.39,80.12,41.18,87.2,67.54,76.4025,81.4342857142857
42,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-5,0,1,24,75.15,77.59,92.93,87.94,78.42,39.28,89.4,67.71,76.05250000000001,81.3057142857143
43,bert-large-uncased,_concat_mean_5_tokens-5,0,1,24,75.51,78.44,93.54,87.69,77.98,39.82,87.0,65.04,75.6275,80.74285714285715
44,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-5,0,1,24,76.03,78.01,93.61,68.77,50.08,39.91,88.2,65.8,70.05125,74.35714285714286
45,bert-large-uncased,_cls-6,0,1,24,70.53,68.95,90.71,83.34,77.81,39.68,61.6,69.86,70.31,74.68571428571428
46,bert-large-uncased,_mean-6,0,1,24,75.78,75.92,92.62,87.22,81.27,43.12,83.6,74.09,76.7025,81.5
47,bert-large-uncased,_mean_exclude_cls_sep-6,0,1,24,75.8,77.03,92.71,87.94,81.49,42.9,84.6,74.26,77.09124999999999,81.97571428571428
48,bert-large-uncased,_concat_cls_with_mean-6,0,1,24,75.81,77.75,93.01,88.06,81.0,42.99,84.4,74.14,77.145,82.02428571428571
49,bert-large-uncased,_concat_cls_with_mean_exclude_cls_sep-6,0,1,24,75.61,77.38,93.25,87.97,80.62,42.94,85.6,73.91,77.16,82.04857142857144
50,bert-large-uncased,_concat_mean_3_tokens-6,0,1,24,76.1,78.83,93.36,87.69,79.3,41.67,87.6,68.41,76.62,81.61285714285714
51,bert-large-uncased,_concat_mean_3_tokens_exclude_cls_and_sep-6,0,1,24,75.71,78.97,93.82,88.37,77.98,39.73,87.4,68.99,76.37125,81.60571428571428
52,bert-large-uncased,_concat_mean_5_tokens-6,0,1,24,75.7,78.41,94.1,87.37,77.65,40.95,88.0,69.51,76.46125,81.53428571428572
53,bert-large-uncased,_concat_mean_5_tokens_exclude_cls_and_sep-6,0,1,24,76.19,78.92,93.77,68.77,50.08,40.86,87.4,66.9,70.36125,74.57571428571428
54,bert-large-uncased,_cls-7,0,1,24,72.26,72.5,91.64,84.88,78.42,40.54,70.0,68.23,72.30875,76.84714285714286
