,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
110,microsoft/deberta-v3-base,mean_exclude_cls_sep_last4,0,1,12,87.55,89.91,95.58,90.43,91.28,51.68,84.94,73.82,83.14875,87.64428571428572
111,microsoft/deberta-v3-base,concat_cls_with_mean_last4,0,1,12,87.57,90.42,95.7,90.22,91.4,52.77,84.65,74.95,83.46,87.8442857142857
112,microsoft/deberta-v3-base,concat_cls_with_mean_exclude_cls_sep_last4,0,1,12,87.59,90.6,95.75,90.38,91.4,52.77,84.74,74.41,83.455,87.83857142857143
113,microsoft/deberta-v3-base,concat_mean_3_tokens_last4,0,1,12,87.93,90.98,96.1,90.31,90.71,52.23,88.0,72.25,83.56375,88.03999999999999
114,microsoft/deberta-v3-base,concat_mean_3_tokens_exclude_cls_and_sep_last4,0,1,12,87.95,91.07,96.05,68.77,90.94,52.68,87.88,72.03,80.92124999999999,84.95571428571428
115,microsoft/deberta-v3-base,concat_mean_5_tokens_last4,0,1,12,87.74,91.74,96.15,68.77,90.6,50.5,89.09,70.8,80.67375,84.98428571428572
116,microsoft/deberta-v3-base,concat_mean_5_tokens_exclude_cls_and_sep_last4,0,1,12,87.61,91.4,95.96,68.77,49.08,51.23,88.96,70.71,75.465,78.92714285714284
117,microsoft/deberta-v3-base,cls_sumall,0,1,12,72.68,63.87,80.39,72.28,83.72,37.24,35.27,67.86,64.16375000000001,68.01
118,microsoft/deberta-v3-base,mean_sumall,0,1,12,86.05,89.11,95.59,90.97,90.94,48.77,87.93,71.79,82.64375,87.48285714285714
119,microsoft/deberta-v3-base,mean_exclude_cls_sep_sumall,0,1,12,86.11,88.97,95.58,90.36,91.51,49.23,87.64,71.59,82.62375,87.39428571428572
120,microsoft/deberta-v3-base,concat_cls_with_mean_sumall,0,1,12,86.45,90.14,95.91,90.85,91.17,50.32,87.62,69.31,82.72125,87.35000000000001
121,microsoft/deberta-v3-base,concat_cls_with_mean_exclude_cls_sep_sumall,0,1,12,86.35,90.24,95.93,90.36,91.28,50.23,87.66,69.97,82.7525,87.39857142857143
122,microsoft/deberta-v3-base,concat_mean_3_tokens_sumall,0,1,12,85.93,89.54,95.79,90.23,89.79,50.23,90.06,69.65,82.65250000000002,87.28428571428573
123,microsoft/deberta-v3-base,concat_mean_3_tokens_exclude_cls_and_sep_sumall,0,1,12,85.83,89.67,95.74,68.77,90.02,49.14,89.87,70.07,79.88874999999999,84.28142857142858
124,microsoft/deberta-v3-base,concat_mean_5_tokens_sumall,0,1,12,85.3,88.71,95.55,68.77,89.91,48.96,89.99,69.6,79.59875,83.97571428571429
125,microsoft/deberta-v3-base,concat_mean_5_tokens_exclude_cls_and_sep_sumall,0,1,12,85.09,88.72,95.49,68.77,49.08,47.96,89.69,69.04,74.22999999999999,77.98285714285714
