,Modelo,Pooling,epochs,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,Avg
0,bert-base-uncased,_cls_layer_1,1,12,0.18132005364443887,0.08641869848957778,0.11179417661763834,0.10757554808550303,0.09442792368912496,,,0.1163072801052566
1,bert-base-uncased,_mean_pooling_1,1,12,0.4279066992414954,0.2795770856662453,0.4233948256309852,0.4441744700471798,0.4615784909947361,,,0.40732631431612837
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,1,12,0.4279066992414954,0.2795770856662453,0.4233948256309852,0.4441744700471798,0.4615784909947361,,,0.40732631431612837
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,1,12,0.473182061108821,0.2811613067729794,0.4461995713084253,0.452738166705827,0.43197933251286474,,,0.4170520876817835
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,1,12,0.473182061108821,0.2811613067729794,0.4461995713084253,0.452738166705827,0.43197933251286474,,,0.4170520876817835
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,1,12,0.3714758797971811,0.17991032021379214,0.3258905645908611,0.3764550819343052,0.3254363751177664,,,0.3158336443307812
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,1,12,0.3215980687279649,0.14736266706407816,0.27375389060930394,0.3001393274886965,0.27580066455170427,,,0.2637309236883496
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,1,12,0.3714758797971811,0.17991032021379214,0.3258905645908611,0.3764550819343052,0.3254363751177664,,,0.3158336443307812
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,1,12,0.3215980687279649,0.14736266706407816,0.27375389060930394,0.3001393274886965,0.27580066455170427,,,0.2637309236883496
9,bert-base-uncased,_cls_layer_2,1,12,0.28347103242743665,0.15228164088333992,0.19045163133826434,0.19466073339740497,0.22723563502324035,,,0.20962013461393725
10,bert-base-uncased,_mean_pooling_2,1,12,0.4634872452296649,0.2965398414101132,0.4589117841157648,0.4866656770684372,0.4708952954784117,,,0.4352999686604783
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,1,12,0.4634872452296649,0.2965398414101132,0.4589117841157648,0.4866656770684372,0.4708952954784117,,,0.4352999686604783
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,1,12,0.4899969965599896,0.3023549688160472,0.4661602487581676,0.489480540793705,0.4455130219120851,,,0.4387011553679988
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,1,12,0.4899969965599896,0.3023549688160472,0.4661602487581676,0.489480540793705,0.4455130219120851,,,0.4387011553679988
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,1,12,0.3947745579457859,0.20179276320178582,0.35413431467643214,0.40584463169935514,0.34839643128806974,,,0.3409885397622857
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,1,12,0.3336762461473852,0.1519205753904761,0.29166265930514207,0.317176169476274,0.30237663332759446,,,0.2793624567293744
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,1,12,0.3947745579457859,0.20179276320178582,0.35413431467643214,0.40584463169935514,0.34839643128806974,,,0.3409885397622857
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,1,12,0.3336762461473852,0.1519205753904761,0.29166265930514207,0.317176169476274,0.30237663332759446,,,0.2793624567293744
18,bert-base-uncased,_cls_layer_3,1,12,0.2790918371109484,0.1582125619755001,0.16598248472441599,0.15067457318524607,0.19741869233397769,,,0.19027602986601766
19,bert-base-uncased,_mean_pooling_3,1,12,0.43177726176360787,0.2559338753596651,0.41984848454606416,0.45483012739110096,0.4322480007957147,,,0.39892754997123053
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,1,12,0.43177726176360787,0.2559338753596651,0.41984848454606416,0.45483012739110096,0.4322480007957147,,,0.39892754997123053
21,bert-base-uncased,_concat_cls_layer_with_mean_pooling_3,1,12,0.4586686059936932,0.2592814679743088,0.41288420700613154,0.4322450159410556,0.3923273574801979,,,0.3910813308790774
22,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_3,1,12,0.4586686059936932,0.2592814679743088,0.41288420700613154,0.4322450159410556,0.3923273574801979,,,0.3910813308790774
23,bert-base-uncased,_concat_3_tokens_mean_pooling_3,1,12,0.3695297229891624,0.16540646556049907,0.3192647592555848,0.37528087398837257,0.31494145763405623,,,0.30888465588553504
24,bert-base-uncased,_concat_5_tokens_mean_pooling_3,1,12,0.3127915698311676,0.12450932383452001,0.2681548830340627,0.29398106538850366,0.28229231425887996,,,0.2563458312694268
25,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_3,1,12,0.3695297229891624,0.16540646556049907,0.3192647592555848,0.37528087398837257,0.31494145763405623,,,0.30888465588553504
26,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_3,1,12,0.3127915698311676,0.12450932383452001,0.2681548830340627,0.29398106538850366,0.28229231425887996,,,0.2563458312694268
27,bert-base-uncased,_cls_layer_4,1,12,0.43368636933294935,0.3250374170614773,0.41415981968150484,0.3941179366918951,0.4938869020924971,,,0.4121776889720647
28,bert-base-uncased,_mean_pooling_4,1,12,0.4362352008375132,0.26564234938823983,0.4328527198337188,0.4769332557021033,0.4069139582608057,,,0.40371549680447616
29,bert-base-uncased,_mean_pooling_no_cls_and_sep_4,1,12,0.4362352008375132,0.26564234938823983,0.4328527198337188,0.4769332557021033,0.4069139582608057,,,0.40371549680447616
