Modelo,Pooling,out_emb_size,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base,CLS+MAX_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(82.5), 'acc': np.float64(81.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.58), 'acc': np.float64(83.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.19), 'acc': np.float64(94.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.48), 'acc': np.float64(87.87), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.61), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.87), 'acc': 48.42, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.25), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.74), 'acc': 75.01, 'f1': 82.53, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(82.91), 'acc': np.float64(82.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.37), 'acc': np.float64(84.98), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.42), 'acc': np.float64(95.12), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.86), 'acc': np.float64(88.4), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(88.42), 'acc': 87.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.77), 'acc': 48.82, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.41), 'acc': 90.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.77), 'acc': 73.04, 'f1': 81.27, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(80.04), 'acc': np.float64(78.77), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.89), 'acc': np.float64(82.49), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.1), 'acc': np.float64(93.71), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.09), 'acc': np.float64(87.64), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.69), 'acc': 45.43, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.97), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.75), 'acc': 60.06, 'f1': 65.87, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(82.51), 'acc': np.float64(81.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.56), 'acc': np.float64(83.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.18), 'acc': np.float64(94.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.57), 'acc': np.float64(87.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 86.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.96), 'acc': 47.42, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.55), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.06), 'acc': 75.01, 'f1': 82.54, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3_LYR-11,torch.Size([2304]),0,"{'devacc': np.float64(81.98), 'acc': np.float64(80.93), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.14), 'acc': np.float64(85.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.25), 'acc': np.float64(95.04), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.0), 'acc': np.float64(88.55), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 83.64, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.59), 'acc': 46.38, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.6), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.18), 'acc': 71.54, 'f1': 80.18, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3-NS_LYR-11,torch.Size([2304]),0,"{'devacc': np.float64(81.69), 'acc': np.float64(81.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.21), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.25), 'acc': np.float64(95.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.7), 'acc': np.float64(88.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.98), 'acc': 83.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.05), 'acc': 45.97, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.36), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.57), 'acc': 70.84, 'f1': 79.17, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5_LYR-11,torch.Size([3840]),0,"{'devacc': np.float64(82.09), 'acc': np.float64(81.31), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.71), 'acc': np.float64(86.41), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.37), 'acc': np.float64(95.1), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.97), 'acc': np.float64(88.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.32), 'acc': 83.8, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.5), 'acc': 47.15, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(89.23), 'acc': 93.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.01), 'acc': 69.68, 'f1': 78.11, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5-NS_LYR-11,torch.Size([3840]),0,"{'devacc': np.float64(81.63), 'acc': np.float64(81.13), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.61), 'acc': np.float64(86.46), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.39), 'acc': np.float64(95.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.96), 'acc': 47.29, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(89.27), 'acc': 94.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.91), 'acc': 69.57, 'f1': 78.3, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(81.76), 'acc': np.float64(81.32), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.65), 'acc': np.float64(84.13), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.87), 'acc': np.float64(94.56), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.96), 'acc': np.float64(86.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.7), 'acc': 86.16, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.69), 'acc': 46.83, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.04), 'acc': 81.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.49), 'acc': 71.83, 'f1': 80.47, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(80.96), 'acc': np.float64(80.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.69), 'acc': np.float64(83.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.88), 'acc': np.float64(94.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.32), 'acc': np.float64(87.1), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.47), 'acc': 84.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.23), 'acc': 45.66, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.06), 'acc': 85.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.89), 'acc': 73.91, 'f1': 82.34, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(79.08), 'acc': np.float64(78.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.28), 'acc': np.float64(82.57), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.99), 'acc': np.float64(93.66), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.98), 'acc': np.float64(87.08), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 85.12, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.96), 'acc': 43.89, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.34), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.96), 'acc': 64.93, 'f1': 73.84, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(78.15), 'acc': np.float64(77.48), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(72.22), 'acc': np.float64(74.02), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.39), 'acc': np.float64(92.59), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.9), 'acc': np.float64(85.59), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.72), 'acc': 83.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.96), 'acc': 44.66, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.96), 'acc': 81.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.79), 'acc': 71.42, 'f1': 78.8, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(80.92), 'acc': np.float64(80.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.62), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.81), 'acc': np.float64(94.26), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.22), 'acc': np.float64(86.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.35), 'acc': 84.79, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.87), 'acc': 45.43, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.01), 'acc': 83.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.09), 'acc': 73.8, 'f1': 82.18, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(79.03), 'acc': np.float64(78.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.22), 'acc': np.float64(82.97), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.01), 'acc': np.float64(93.55), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.15), 'acc': np.float64(86.54), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.78), 'acc': 85.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.32), 'acc': 43.08, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.21), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.57), 'acc': 67.13, 'f1': 76.64, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(78.12), 'acc': np.float64(77.58), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(72.75), 'acc': np.float64(76.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.33), 'acc': np.float64(92.82), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(85.88), 'acc': np.float64(85.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.41), 'acc': 44.62, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(76.83), 'acc': 81.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.25), 'acc': 71.77, 'f1': 79.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(82.44), 'acc': np.float64(81.69), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.65), 'acc': np.float64(85.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.41), 'acc': np.float64(95.15), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.09), 'acc': np.float64(88.15), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 86.77, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.78), 'acc': 47.29, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.39), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.04), 'acc': 73.68, 'f1': 81.9, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(80.61), 'acc': np.float64(79.44), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.71), 'acc': np.float64(84.27), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.23), 'acc': np.float64(93.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.44), 'acc': np.float64(87.37), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 86.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.14), 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.31), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.35), 'acc': 69.28, 'f1': 79.44, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(82.02), 'acc': np.float64(81.87), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.41), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.01), 'acc': np.float64(94.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.7), 'acc': np.float64(87.04), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 86.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.32), 'acc': 47.42, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.82), 'acc': 87.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.82), 'acc': 72.93, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(82.36), 'acc': np.float64(81.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.63), 'acc': np.float64(84.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.4), 'acc': np.float64(95.16), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.25), 'acc': np.float64(87.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.27), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.68), 'acc': 47.56, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.3), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.14), 'acc': 74.09, 'f1': 82.13, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(80.51), 'acc': np.float64(79.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.57), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.29), 'acc': np.float64(93.83), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.6), 'acc': np.float64(87.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 86.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.42), 'acc': 45.84, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.11), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.44), 'acc': 69.45, 'f1': 79.37, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(82.05), 'acc': np.float64(81.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(85.52), 'acc': np.float64(83.58), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.99), 'acc': np.float64(94.48), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.81), 'acc': np.float64(87.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.93), 'acc': 86.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.5), 'acc': 46.7, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.2), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.33), 'acc': 72.81, 'f1': 82.23, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(81.52), 'acc': np.float64(80.76), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.07), 'acc': np.float64(84.82), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.13), 'acc': np.float64(94.88), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.26), 'acc': np.float64(87.98), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 83.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.23), 'acc': 46.97, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.63), 'acc': 89.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.96), 'acc': 70.38, 'f1': 78.39, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3-NS_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(81.29), 'acc': np.float64(80.64), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.27), 'acc': np.float64(84.66), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.08), 'acc': np.float64(94.92), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.31), 'acc': np.float64(88.18), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 83.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(47.41), 'acc': 45.93, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.33), 'acc': 90.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.03), 'acc': 70.2, 'f1': 79.22, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(81.71), 'acc': np.float64(80.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.82), 'acc': np.float64(85.56), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.23), 'acc': np.float64(95.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.38), 'acc': np.float64(88.3), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(83.6), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.96), 'acc': 45.7, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.08), 'acc': 90.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.03), 'acc': 67.59, 'f1': 75.51, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5-NS_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(81.41), 'acc': np.float64(80.7), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.01), 'acc': np.float64(84.74), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.2), 'acc': np.float64(94.91), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.96), 'acc': 45.52, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.33), 'acc': 92.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.47), 'acc': 67.48, 'f1': 75.68, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(82.32), 'acc': np.float64(81.89), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(86.55), 'acc': np.float64(84.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.36), 'acc': np.float64(95.09), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.22), 'acc': np.float64(87.61), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.16), 'acc': 87.26, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.78), 'acc': 46.79, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.87), 'acc': 88.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.59), 'acc': 62.38, 'f1': 71.72, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(81.78), 'acc': np.float64(81.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.45), 'acc': np.float64(86.78), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.45), 'acc': np.float64(94.42), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.6), 'acc': np.float64(88.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(87.39), 'acc': 86.27, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.78), 'acc': 48.05, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.99), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.04), 'acc': 70.38, 'f1': 77.34, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(76.59), 'acc': np.float64(76.11), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.15), 'acc': np.float64(82.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.68), 'acc': np.float64(93.45), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.17), 'acc': np.float64(86.33), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.01), 'acc': 85.67, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(38.24), 'acc': 39.0, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.23), 'acc': 88.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(65.48), 'acc': 65.22, 'f1': 73.8, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(78.18), 'acc': np.float64(76.59), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.29), 'acc': np.float64(78.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.26), 'acc': np.float64(92.19), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.51), 'acc': np.float64(86.5), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.89), 'acc': 83.8, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.14), 'acc': 43.44, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.6), 'acc': 85.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.84), 'acc': 67.19, 'f1': 76.55, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(81.74), 'acc': np.float64(81.1), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(87.5), 'acc': np.float64(85.61), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.42), 'acc': np.float64(94.46), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.37), 'acc': np.float64(88.09), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(86.58), 'acc': 86.49, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.87), 'acc': 46.65, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.97), 'acc': 91.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.31), 'acc': 68.75, 'f1': 75.62, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(76.51), 'acc': np.float64(76.04), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.08), 'acc': np.float64(83.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.63), 'acc': np.float64(93.08), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(86.03), 'acc': np.float64(85.86), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 85.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(38.87), 'acc': 39.46, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.69), 'acc': 88.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(65.6), 'acc': 65.57, 'f1': 74.17, 'ndev': 4076, 'ntest': 1725}"
bert-base,MAX-NS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(78.08), 'acc': np.float64(77.38), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.55), 'acc': np.float64(76.08), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.3), 'acc': np.float64(92.76), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.36), 'acc': np.float64(86.81), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(85.44), 'acc': 83.75, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.05), 'acc': 42.26, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.59), 'acc': 91.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.93), 'acc': 67.54, 'f1': 76.9, 'ndev': 4076, 'ntest': 1725}"
