Modelo,Pooling,out_emb_size,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base,CLS+AVG-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(79.51), 'acc': np.float64(78.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(81.18), 'acc': np.float64(80.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.83), 'acc': np.float64(94.37), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.29), 'acc': np.float64(89.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 85.28, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.14), 'acc': 45.79, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.75), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.48), 'acc': 74.26, 'f1': 82.2, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+SUM-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.66), 'acc': np.float64(75.03), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.87), 'acc': np.float64(79.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.5), 'acc': np.float64(93.01), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.71), 'acc': np.float64(88.44), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 82.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.51), 'acc': 43.76, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.13), 'acc': 91.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(69.46), 'acc': 68.75, 'f1': 76.88, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS+MAX-NS_LYR-7,torch.Size([1536]),0,"{'devacc': np.float64(77.14), 'acc': np.float64(76.34), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.97), 'acc': np.float64(77.14), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.97), 'acc': np.float64(93.06), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.63), 'acc': np.float64(88.48), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 83.14, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.6), 'acc': 42.94, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.69), 'acc': 91.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.55), 'acc': 69.91, 'f1': 80.84, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3_LYR-7,torch.Size([2304]),0,"{'devacc': np.float64(79.46), 'acc': np.float64(79.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(83.05), 'acc': np.float64(81.16), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.83), 'acc': np.float64(94.58), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.32), 'acc': np.float64(89.03), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 80.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.5), 'acc': 44.07, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.45), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.68), 'acc': 68.29, 'f1': 78.25, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY3-NS_LYR-7,torch.Size([2304]),0,"{'devacc': np.float64(79.29), 'acc': np.float64(78.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.74), 'acc': np.float64(80.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.85), 'acc': np.float64(94.5), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.05), 'acc': np.float64(88.57), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 80.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.41), 'acc': 44.98, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(87.4), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.85), 'acc': 67.54, 'f1': 76.61, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5_LYR-7,torch.Size([3840]),0,"{'devacc': np.float64(79.27), 'acc': np.float64(78.2), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.68), 'acc': np.float64(81.85), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(95.04), 'acc': np.float64(94.87), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.77), 'acc': np.float64(88.53), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 79.46, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.69), 'acc': 44.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.52), 'acc': 91.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.32), 'acc': 69.16, 'f1': 79.51, 'ndev': 4076, 'ntest': 1725}"
bert-base,DY5-NS_LYR-7,torch.Size([3840]),0,"{'devacc': np.float64(78.9), 'acc': np.float64(78.37), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.99), 'acc': np.float64(81.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.92), 'acc': np.float64(94.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.23), 'acc': 44.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(88.85), 'acc': 93.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.27), 'acc': 64.35, 'f1': 71.19, 'ndev': 4076, 'ntest': 1725}"
bert-base,CLS_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(77.46), 'acc': np.float64(76.14), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(75.07), 'acc': np.float64(73.69), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.49), 'acc': np.float64(93.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.48), 'acc': np.float64(86.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.29), 'acc': 83.36, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 43.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(77.18), 'acc': 78.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.12), 'acc': 69.51, 'f1': 80.6, 'ndev': 4076, 'ntest': 1725}"
bert-base,AVG_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(80.17), 'acc': np.float64(79.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(84.41), 'acc': np.float64(82.65), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(94.46), 'acc': np.float64(94.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.05), 'acc': np.float64(88.43), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 84.95, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(46.41), 'acc': 45.07, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.72), 'acc': 92.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.99), 'acc': 74.14, 'f1': 82.13, 'ndev': 4076, 'ntest': 1725}"
bert-base,SUM_LYR-8,torch.Size([768]),0,"{'devacc': np.float64(77.46), 'acc': np.float64(77.15), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(82.71), 'acc': np.float64(81.54), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.86), 'acc': np.float64(93.51), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(87.9), 'acc': np.float64(87.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.4), 'acc': 83.42, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 43.53, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.16), 'acc': 89.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(66.68), 'acc': 61.1, 'f1': 69.37, 'ndev': 4076, 'ntest': 1725}"
