,Modelo,Pooling,epochs,qtd_layers,STS12,STS13,STS14,STS15,STS16,STSBenchmark,SICKRelatedness,Avg
0,bert-base-uncased,_cls_layer_1,1,12,0.2362693935488805,0.1462570000243589,0.2054515186603337,0.2237718073912942,0.2877015073750039,,,0.2198902453999742
1,bert-base-uncased,_mean_pooling_1,1,12,0.513241238630064,0.3325705017129525,0.4953210727301051,0.5071185594123029,0.5343208144144331,,,0.47651443737997157
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,1,12,0.513241238630064,0.3325705017129525,0.4953210727301051,0.5071185594123029,0.5343208144144331,,,0.47651443737997157
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,1,12,0.5344138905837742,0.32630818588528016,0.49159129781016125,0.508713952107508,0.5202162395920721,,,0.4762487131957592
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,1,12,0.5344138905837742,0.32630818588528016,0.49159129781016125,0.508713952107508,0.5202162395920721,,,0.4762487131957592
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,1,12,0.4369723936400952,0.22891234124044169,0.39059065916111974,0.41433364021890534,0.36372359994263026,,,0.36690652684063846
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,1,12,0.379606244032995,0.1747367631363478,0.2902076266769383,0.3091393436475308,0.28472785572577813,,,0.28768356664391803
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,1,12,0.4369723936400952,0.22891234124044169,0.39059065916111974,0.41433364021890534,0.36372359994263026,,,0.36690652684063846
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,1,12,0.379606244032995,0.1747367631363478,0.2902076266769383,0.3091393436475308,0.28472785572577813,,,0.28768356664391803
9,bert-base-uncased,_cls_layer_2,1,12,0.31680234298517473,0.20593028273023872,0.2668561560816764,0.31287139019040444,0.37631334595375343,,,0.2957547035882495
10,bert-base-uncased,_mean_pooling_2,1,12,0.5402714284688439,0.3504121319155804,0.5171955921425028,0.5402168140762926,0.532968778791435,,,0.4962129490789309
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,1,12,0.5402714284688439,0.3504121319155804,0.5171955921425028,0.5402168140762926,0.532968778791435,,,0.4962129490789309
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,1,12,0.5446049481748645,0.3484717681176104,0.5011863748469311,0.5286340582372002,0.509077594118176,,,0.4863949486989564
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,1,12,0.5446049481748645,0.3484717681176104,0.5011863748469311,0.5286340582372002,0.509077594118176,,,0.4863949486989564
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,1,12,0.4576977407872011,0.24615332039741036,0.4109944376621519,0.4331769230900617,0.379771626203005,,,0.38555880962796596
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,1,12,0.3916716934792757,0.17961163969638524,0.30933231758121743,0.32184637525116794,0.30763090741982446,,,0.30201858668557413
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,1,12,0.4576977407872011,0.24615332039741036,0.4109944376621519,0.4331769230900617,0.379771626203005,,,0.38555880962796596
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,1,12,0.3916716934792757,0.17961163969638524,0.30933231758121743,0.32184637525116794,0.30763090741982446,,,0.30201858668557413
18,bert-base-uncased,_cls_layer_3,1,12,0.32452141436132853,0.21771435514063045,0.26387337501866,0.2980597573011319,0.398539829022581,,,0.30054174616886636
19,bert-base-uncased,_mean_pooling_3,1,12,0.5149501843855634,0.3199720123505206,0.4898337718870749,0.5151992264639652,0.506494695109019,,,0.4692899780392287
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,1,12,0.5149501843855634,0.3199720123505206,0.4898337718870749,0.5151992264639652,0.506494695109019,,,0.4692899780392287
21,bert-base-uncased,_concat_cls_layer_with_mean_pooling_3,1,12,0.5130478883024969,0.30965059490723346,0.4543064043220548,0.48017406461631185,0.4758016350718302,,,0.4465961174439855
22,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_3,1,12,0.5130478883024969,0.30965059490723346,0.4543064043220548,0.48017406461631185,0.4758016350718302,,,0.4465961174439855
23,bert-base-uncased,_concat_3_tokens_mean_pooling_3,1,12,0.4303831380896973,0.21379506960748015,0.37988579985633125,0.40660867525770306,0.3468536168246507,,,0.3555052599271725
24,bert-base-uncased,_concat_5_tokens_mean_pooling_3,1,12,0.370945555161949,0.15109570851867937,0.2857101092786252,0.2990849386945393,0.2847840963482811,,,0.2783240816004148
25,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_3,1,12,0.4303831380896973,0.21379506960748015,0.37988579985633125,0.40660867525770306,0.3468536168246507,,,0.3555052599271725
26,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_3,1,12,0.370945555161949,0.15109570851867937,0.2857101092786252,0.2990849386945393,0.2847840963482811,,,0.2783240816004148
27,bert-base-uncased,_cls_layer_4,1,12,0.46720328119310867,0.383374474019762,0.45713094493842216,0.5066581462014368,0.6235462077820964,,,0.4875826108269652
28,bert-base-uncased,_mean_pooling_4,1,12,0.5133148006751075,0.32573544556576484,0.49879108460283944,0.5319765926481388,0.48416425041421834,,,0.4707964347812138
29,bert-base-uncased,_mean_pooling_no_cls_and_sep_4,1,12,0.5133148006751075,0.32573544556576484,0.49879108460283944,0.5319765926481388,0.48416425041421834,,,0.4707964347812138
