,Modelo,Pooling,out_emb_size,epochs,qtd_layers,nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
38,bert-base,AVG-NS_LYR-9,torch.Size([768]),1,12,0,80.76,85.27,94.13,87.82,85.45,46.7,90.0,74.26,80.54874999999998,85.38428571428571
39,bert-base,SUM-NS_LYR-9,torch.Size([768]),1,12,0,78.95,83.37,93.46,87.25,85.34,42.35,91.8,67.07,78.69874999999999,83.89142857142858
40,bert-base,MAX-NS_LYR-9,torch.Size([768]),1,12,0,77.53,78.3,92.39,86.69,82.7,43.44,90.4,70.78,77.77874999999999,82.6842857142857
41,bert-base,CLS+AVG_LYR-9,torch.Size([1536]),1,12,0,81.46,85.38,94.7,88.69,86.93,46.7,92.0,74.96,81.35249999999999,86.30285714285715
42,bert-base,CLS+SUM_LYR-9,torch.Size([1536]),1,12,0,78.0,83.39,93.45,88.24,85.5,45.25,91.6,70.61,79.505,84.39857142857143
43,bert-base,CLS+MAX_LYR-9,torch.Size([1536]),1,12,0,80.65,81.91,93.91,88.55,86.0,45.66,93.0,72.7,80.29750000000001,85.24571428571429
44,bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),1,12,0,81.21,84.29,94.85,88.94,87.37,46.47,91.4,74.9,81.17875,86.13714285714286
45,bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),1,12,0,79.16,84.35,93.94,88.1,85.72,44.57,91.2,65.04,79.00999999999999,83.92999999999999
46,bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),1,12,0,80.78,82.91,94.38,88.92,86.99,45.25,93.2,72.58,80.62625000000001,85.68000000000002
47,bert-base,DY3_LYR-9,torch.Size([2304]),1,12,0,80.9,85.93,94.95,89.19,83.36,45.43,92.4,70.43,80.32375000000002,85.30857142857144
48,bert-base,DY3-NS_LYR-9,torch.Size([2304]),1,12,0,81.24,85.61,94.85,88.84,83.25,46.24,91.6,70.26,80.23625,85.09285714285714
