Modelo,Pooling,out_emb_size,Nhid,CR
bert-base,CLS_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(82.09), 'acc': np.float64(81.17), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(86.92), 'acc': np.float64(85.17), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(85.46), 'acc': np.float64(83.6), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(78.46), 'acc': np.float64(77.99), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(87.1), 'acc': np.float64(85.27), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(85.29), 'acc': np.float64(83.37), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-9,torch.Size([768]),0,"{'devacc': np.float64(79.03), 'acc': np.float64(78.3), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(86.23), 'acc': np.float64(85.38), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(85.5), 'acc': np.float64(83.39), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(83.87), 'acc': np.float64(81.91), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(86.2), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(85.45), 'acc': np.float64(84.35), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-9,torch.Size([1536]),0,"{'devacc': np.float64(83.92), 'acc': np.float64(82.91), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-9,torch.Size([2304]),0,"{'devacc': np.float64(86.93), 'acc': np.float64(85.93), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-9,torch.Size([2304]),0,"{'devacc': np.float64(87.23), 'acc': np.float64(85.61), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-9,torch.Size([3840]),0,"{'devacc': np.float64(87.32), 'acc': np.float64(86.25), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-9,torch.Size([3840]),0,"{'devacc': np.float64(87.1), 'acc': np.float64(86.6), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(85.26), 'acc': np.float64(82.83), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(87.18), 'acc': np.float64(85.27), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(85.14), 'acc': np.float64(83.97), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(80.45), 'acc': np.float64(78.97), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(87.22), 'acc': np.float64(85.06), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(84.97), 'acc': np.float64(83.39), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-10,torch.Size([768]),0,"{'devacc': np.float64(80.87), 'acc': np.float64(79.31), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(87.32), 'acc': np.float64(85.64), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(85.58), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(85.39), 'acc': np.float64(85.17), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(87.36), 'acc': np.float64(84.85), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(85.5), 'acc': np.float64(83.42), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-10,torch.Size([1536]),0,"{'devacc': np.float64(85.66), 'acc': np.float64(83.74), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-10,torch.Size([2304]),0,"{'devacc': np.float64(87.48), 'acc': np.float64(86.57), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-10,torch.Size([2304]),0,"{'devacc': np.float64(87.5), 'acc': np.float64(86.78), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-10,torch.Size([3840]),0,"{'devacc': np.float64(88.07), 'acc': np.float64(86.81), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-10,torch.Size([3840]),0,"{'devacc': np.float64(87.74), 'acc': np.float64(86.12), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(85.59), 'acc': np.float64(84.03), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(86.71), 'acc': np.float64(84.93), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(85.19), 'acc': np.float64(83.68), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(80.5), 'acc': np.float64(79.79), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(86.75), 'acc': np.float64(84.69), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(85.15), 'acc': np.float64(83.84), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-11,torch.Size([768]),0,"{'devacc': np.float64(80.72), 'acc': np.float64(80.05), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(87.27), 'acc': np.float64(85.03), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(84.99), 'acc': np.float64(82.62), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(85.58), 'acc': np.float64(83.29), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(87.37), 'acc': np.float64(84.98), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(84.89), 'acc': np.float64(82.49), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-11,torch.Size([1536]),0,"{'devacc': np.float64(85.56), 'acc': np.float64(83.42), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-11,torch.Size([2304]),0,"{'devacc': np.float64(87.14), 'acc': np.float64(85.53), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-11,torch.Size([2304]),0,"{'devacc': np.float64(87.21), 'acc': np.float64(85.99), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-11,torch.Size([3840]),0,"{'devacc': np.float64(87.71), 'acc': np.float64(86.41), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-11,torch.Size([3840]),0,"{'devacc': np.float64(87.61), 'acc': np.float64(86.46), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.65), 'acc': np.float64(84.13), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(85.69), 'acc': np.float64(83.5), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.28), 'acc': np.float64(82.57), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(72.22), 'acc': np.float64(74.02), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(85.62), 'acc': np.float64(83.71), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(84.22), 'acc': np.float64(82.97), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX-NS_LYR-12,torch.Size([768]),0,"{'devacc': np.float64(72.75), 'acc': np.float64(76.58), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(86.65), 'acc': np.float64(85.38), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(84.71), 'acc': np.float64(84.27), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(85.41), 'acc': np.float64(84.29), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+AVG-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(86.63), 'acc': np.float64(84.5), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+SUM-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(84.57), 'acc': np.float64(83.87), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS+MAX-NS_LYR-12,torch.Size([1536]),0,"{'devacc': np.float64(85.52), 'acc': np.float64(83.58), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(86.07), 'acc': np.float64(84.82), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY3-NS_LYR-12,torch.Size([2304]),0,"{'devacc': np.float64(86.27), 'acc': np.float64(84.66), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(86.82), 'acc': np.float64(85.56), 'ndev': 3775, 'ntest': 3775}"
bert-base,DY5-NS_LYR-12,torch.Size([3840]),0,"{'devacc': np.float64(87.01), 'acc': np.float64(84.74), 'ndev': 3775, 'ntest': 3775}"
bert-base,CLS_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(86.55), 'acc': np.float64(84.43), 'ndev': 3775, 'ntest': 3775}"
bert-base,AVG_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(87.45), 'acc': np.float64(86.78), 'ndev': 3775, 'ntest': 3775}"
bert-base,SUM_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(84.15), 'acc': np.float64(82.68), 'ndev': 3775, 'ntest': 3775}"
bert-base,MAX_SUML4L,torch.Size([768]),0,"{'devacc': np.float64(79.29), 'acc': np.float64(78.09), 'ndev': 3775, 'ntest': 3775}"
