,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
175,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-20,0,1,22,75.67,78.89,92.79,80.51,82.8,41.6,81.14,67.59,75.12375000000002,79.91285714285713
176,answerdotai/ModernBERT-base,_concat_mean_3_tokens-20,0,1,22,75.42,79.88,92.9,80.92,79.93,42.51,84.67,67.66,75.48625,80.19714285714285
177,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-20,0,1,22,75.47,79.17,92.78,81.67,79.82,41.6,84.24,67.64,75.29875,80.11285714285714
178,answerdotai/ModernBERT-base,_concat_mean_5_tokens-20,0,1,22,74.38,79.08,92.42,80.95,79.36,39.78,84.87,66.39,74.65375,79.63571428571429
179,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-20,0,1,22,74.16,78.3,92.09,68.77,79.47,39.42,84.21,67.2,72.9525,77.74285714285713
180,answerdotai/ModernBERT-base,_cls-21,0,1,22,69.56,69.43,87.84,74.84,75.46,33.33,64.95,67.62,67.87875,72.81428571428572
181,answerdotai/ModernBERT-base,_mean-21,0,1,22,75.85,74.48,92.12,79.87,83.03,38.15,80.59,67.62,73.96375,79.08000000000001
182,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-21,0,1,22,76.73,78.6,92.5,81.14,82.68,38.96,81.69,67.69,74.99875,80.14714285714285
183,answerdotai/ModernBERT-base,_concat_cls_with_mean-21,0,1,22,74.83,77.72,92.54,79.08,82.45,39.6,79.11,67.59,74.11500000000001,79.0457142857143
184,answerdotai/ModernBERT-base,_concat_cls_with_mean_exclude_cls_sep-21,0,1,22,75.34,78.76,92.54,79.77,82.11,39.96,80.61,67.57,74.58250000000001,79.52857142857144
185,answerdotai/ModernBERT-base,_concat_mean_3_tokens-21,0,1,22,75.19,79.36,92.71,80.81,79.36,42.78,84.45,67.74,75.30000000000001,79.94571428571429
186,answerdotai/ModernBERT-base,_concat_mean_3_tokens_exclude_cls_and_sep-21,0,1,22,75.33,79.14,92.53,81.13,79.47,41.78,84.23,67.76,75.17125,79.94142857142857
187,answerdotai/ModernBERT-base,_concat_mean_5_tokens-21,0,1,22,74.12,79.44,92.33,80.57,79.82,39.51,84.7,66.88,74.67125,79.6942857142857
188,answerdotai/ModernBERT-base,_concat_mean_5_tokens_exclude_cls_and_sep-21,0,1,22,73.94,78.1,92.19,68.77,80.5,39.15,84.08,67.98,73.08875,77.93714285714285
189,answerdotai/ModernBERT-base,_cls-22,0,1,22,68.81,69.9,88.87,75.16,76.38,33.33,66.49,67.42,68.295,73.28999999999999
190,answerdotai/ModernBERT-base,_mean-22,0,1,22,75.53,76.67,92.1,78.72,83.14,39.15,79.53,67.57,74.05124999999998,79.03714285714285
191,answerdotai/ModernBERT-base,_mean_exclude_cls_sep-22,0,1,22,76.14,77.54,92.17,80.59,82.45,40.51,82.06,67.69,74.89375000000001,79.8057142857143
