Modelo,Pooling,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
bert-base-uncased,_cls_layer_1,"{'devacc': np.float64(60.82), 'acc': np.float64(59.96), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(77.98), 'acc': np.float64(77.78), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.78), 'acc': np.float64(69.68), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(69.61), 'acc': 68.86, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(30.79), 'acc': 32.17, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(47.25), 'acc': 49.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.71), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_pooling_1,"{'devacc': np.float64(74.03), 'acc': np.float64(72.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.52), 'acc': np.float64(74.3), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.25), 'acc': np.float64(90.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.29), 'acc': np.float64(87.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.89), 'acc': 77.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 40.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(74.83), 'acc': 72.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 73.62, 'f1': 81.72, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(74.03), 'acc': np.float64(72.52), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.52), 'acc': np.float64(74.3), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.25), 'acc': np.float64(90.54), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.29), 'acc': np.float64(87.82), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.89), 'acc': 77.54, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(41.69), 'acc': 40.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(74.83), 'acc': 72.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 73.62, 'f1': 81.72, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,"{'devacc': np.float64(73.78), 'acc': np.float64(72.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.14), 'acc': np.float64(73.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.0), 'acc': np.float64(90.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.33), 'acc': np.float64(87.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.2), 'acc': 77.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.69), 'acc': 40.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(73.92), 'acc': 74.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.2), 'acc': 70.84, 'f1': 80.71, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(73.78), 'acc': np.float64(72.73), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(73.14), 'acc': np.float64(73.11), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.0), 'acc': np.float64(90.43), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.33), 'acc': np.float64(87.94), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(74.2), 'acc': 77.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(40.69), 'acc': 40.9, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(73.92), 'acc': 74.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.2), 'acc': 70.84, 'f1': 80.71, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_3_tokens_mean_pooling_1,"{'devacc': np.float64(75.58), 'acc': np.float64(74.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.51), 'acc': np.float64(75.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.63), 'acc': np.float64(91.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.17), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.34), 'acc': 76.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 41.04, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.83), 'acc': 83.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.61), 'acc': 67.3, 'f1': 75.48, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_5_tokens_mean_pooling_1,"{'devacc': np.float64(75.78), 'acc': np.float64(75.3), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.81), 'acc': np.float64(77.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.84), 'acc': np.float64(92.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 76.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.33), 'acc': 40.81, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.97), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.27), 'acc': 67.54, 'f1': 76.07, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(75.58), 'acc': np.float64(74.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.51), 'acc': np.float64(75.95), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.63), 'acc': np.float64(91.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.17), 'acc': np.float64(88.63), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.34), 'acc': 76.55, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.05), 'acc': 41.04, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(82.83), 'acc': 83.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.61), 'acc': 67.3, 'f1': 75.48, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,"{'devacc': np.float64(75.78), 'acc': np.float64(75.3), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.81), 'acc': np.float64(77.43), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.84), 'acc': np.float64(92.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.66), 'acc': np.float64(88.46), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(76.15), 'acc': 76.72, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(39.33), 'acc': 40.81, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(83.97), 'acc': 86.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.27), 'acc': 67.54, 'f1': 76.07, 'ndev': 4076, 'ntest': 1725}"
bert-base-uncased,_cls_layer_2,"{'devacc': np.float64(65.17), 'acc': np.float64(64.65), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.77), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(87.12), 'acc': np.float64(85.98), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.81), 'acc': np.float64(69.92), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(75.46), 'acc': 74.35, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(33.33), 'acc': 32.67, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(50.79), 'acc': 45.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(68.38), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
