,Modelo,Pooling,nhid,epochs,qtd_layers,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC,Avg_with_SST5,Avg_without_SST5
0,bert-base-uncased,_cls_layer_1,nhid0,1,12,59.96,63.76,77.78,69.68,68.86,32.17,49.4,66.49,61.0125,65.13285714285715
1,bert-base-uncased,_mean_pooling_1,nhid0,1,12,72.52,74.3,90.54,87.82,77.54,40.9,72.2,73.62,73.68,78.36285714285714
2,bert-base-uncased,_mean_pooling_no_cls_and_sep_1,nhid0,1,12,72.52,74.3,90.54,87.82,77.54,40.9,72.2,73.62,73.68,78.36285714285714
3,bert-base-uncased,_concat_cls_layer_with_mean_pooling_1,nhid0,1,12,72.73,73.11,90.43,87.94,77.1,40.9,74.6,70.84,73.45625000000001,78.10714285714288
4,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_1,nhid0,1,12,72.73,73.11,90.43,87.94,77.1,40.9,74.6,70.84,73.45625000000001,78.10714285714288
5,bert-base-uncased,_concat_3_tokens_mean_pooling_1,nhid0,1,12,74.94,75.95,91.96,88.63,76.55,41.04,83.0,67.3,74.92124999999999,79.76142857142857
6,bert-base-uncased,_concat_5_tokens_mean_pooling_1,nhid0,1,12,75.3,77.43,92.39,88.46,76.72,40.81,86.0,67.54,75.58124999999998,80.54857142857142
7,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_1,nhid0,1,12,74.94,75.95,91.96,88.63,76.55,41.04,83.0,67.3,74.92124999999999,79.76142857142857
8,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_1,nhid0,1,12,75.3,77.43,92.39,88.46,76.72,40.81,86.0,67.54,75.58124999999998,80.54857142857142
9,bert-base-uncased,_cls_layer_2,nhid0,1,12,64.65,63.76,85.98,69.92,74.35,32.67,45.4,66.49,62.902499999999996,67.22142857142856
10,bert-base-uncased,_mean_pooling_2,nhid0,1,12,73.79,77.19,91.72,88.1,77.21,41.58,78.0,71.59,74.8975,79.65714285714286
11,bert-base-uncased,_mean_pooling_no_cls_and_sep_2,nhid0,1,12,73.79,77.19,91.72,88.1,77.21,41.58,78.0,71.59,74.8975,79.65714285714286
12,bert-base-uncased,_concat_cls_layer_with_mean_pooling_2,nhid0,1,12,72.82,73.56,91.42,88.47,76.88,41.09,79.0,67.54,73.8475,78.52714285714285
13,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_2,nhid0,1,12,72.82,73.56,91.42,88.47,76.88,41.09,79.0,67.54,73.8475,78.52714285714285
14,bert-base-uncased,_concat_3_tokens_mean_pooling_2,nhid0,1,12,74.81,77.88,92.87,89.03,77.1,40.45,85.2,67.48,75.6025,80.62428571428572
15,bert-base-uncased,_concat_5_tokens_mean_pooling_2,nhid0,1,12,75.63,78.17,93.16,88.22,77.21,40.81,89.0,69.62,76.4775,81.57285714285715
16,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_2,nhid0,1,12,74.81,77.88,92.87,89.03,77.1,40.45,85.2,67.48,75.6025,80.62428571428572
17,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_2,nhid0,1,12,75.63,78.17,93.16,88.22,77.21,40.81,89.0,69.62,76.4775,81.57285714285715
18,bert-base-uncased,_cls_layer_3,nhid0,1,12,65.08,63.76,86.32,70.05,75.23,32.4,47.2,66.49,63.31625,67.73285714285714
19,bert-base-uncased,_mean_pooling_3,nhid0,1,12,74.08,76.03,91.76,88.13,76.83,42.22,78.2,72.46,74.96375,79.64142857142858
20,bert-base-uncased,_mean_pooling_no_cls_and_sep_3,nhid0,1,12,74.08,76.03,91.76,88.13,76.83,42.22,78.2,72.46,74.96375,79.64142857142858
21,bert-base-uncased,_concat_cls_layer_with_mean_pooling_3,nhid0,1,12,73.66,74.06,91.67,88.1,77.76,41.4,74.4,68.46,73.68875,78.30142857142857
22,bert-base-uncased,_concat_cls_layer_with_mean_pooling_no_cls_and_sep_3,nhid0,1,12,73.66,74.06,91.67,88.1,77.76,41.4,74.4,68.46,73.68875,78.30142857142857
23,bert-base-uncased,_concat_3_tokens_mean_pooling_3,nhid0,1,12,74.83,77.75,92.52,89.02,76.99,41.31,82.8,68.41,75.45374999999999,80.33142857142856
24,bert-base-uncased,_concat_5_tokens_mean_pooling_3,nhid0,1,12,75.65,78.09,93.17,88.56,76.77,41.0,87.0,67.01,75.90625,80.89285714285714
25,bert-base-uncased,_concat_3_tokens_mean_pooling_no_cls_and_sep_3,nhid0,1,12,74.83,77.75,92.52,89.02,76.99,41.31,82.8,68.41,75.45374999999999,80.33142857142856
26,bert-base-uncased,_concat_5_tokens_mean_pooling_no_cls_and_sep_3,nhid0,1,12,75.65,78.09,93.17,88.56,76.77,41.0,87.0,67.01,75.90625,80.89285714285714
